country,sex,year,contributing_family_workers_d
alb,mf,2007,28.299999237060547
alb,m,2007,14.5
alb,f,2007,45.79999923706055
alb,mf,2008,29.600000381469727
alb,m,2008,14.100000381469727
alb,f,2008,48.599998474121094
alb,mf,2009,29.200000762939453
alb,m,2009,16.299999237060547
alb,f,2009,46.400001525878906
alb,mf,2010,26.100000381469727
alb,m,2010,13.199999809265137
alb,f,2010,43.29999923706055
alb,mf,2011,31.399999618530273
alb,m,2011,22.100000381469727
alb,f,2011,43.20000076293945
alb,mf,2012,37.29999923706055
alb,m,2012,25.899999618530273
alb,f,2012,51.900001525878906
alb,mf,2013,34.0
alb,m,2013,24.700000762939453
alb,f,2013,45.29999923706055
dza,mf,2001,8.399999618530273
dza,m,2001,8.800000190734863
dza,f,2001,6.099999904632568
dza,mf,2003,7.199999809265137
dza,m,2003,7.199999809265137
dza,f,2003,7.199999809265137
dza,mf,2004,8.199999809265137
dza,m,2004,7.099999904632568
dza,f,2004,13.600000381469727
dza,mf,2005,7.199999809265137
dza,m,2005,7.199999809265137
dza,f,2005,7.300000190734863
dza,mf,2008,5.199999809265137
dza,m,2008,4.699999809265137
dza,f,2008,8.0
dza,mf,2009,5.0
dza,m,2009,4.900000095367432
dza,f,2009,5.300000190734863
dza,mf,2010,4.099999904632568
dza,m,2010,3.4000000953674316
dza,f,2010,8.5
dza,mf,2011,2.0999999046325684
dza,m,2011,2.0999999046325684
dza,f,2011,2.200000047683716
dza,mf,2013,2.0999999046325684
dza,m,2013,2.0
dza,f,2013,2.9000000953674316
dza,mf,2014,1.600000023841858
dza,m,2014,1.600000023841858
dza,f,2014,1.600000023841858
asm,mf,1990,0.20000000298023224
asm,m,1990,0.10000000149011612
asm,f,1990,0.30000001192092896
asm,mf,2000,0.20000000298023224
aia,mf,2001,6.0
aia,m,2001,8.0
aia,f,2001,3.5999999046325684
atg,mf,1991,0.800000011920929
atg,m,1991,0.699999988079071
atg,f,1991,0.8999999761581421
atg,mf,2001,0.5
atg,m,2001,0.5
atg,f,2001,0.5
arg,mf,1990,1.399999976158142
arg,m,1990,0.699999988079071
arg,f,1990,2.5
arg,mf,1991,1.0
arg,m,1991,0.6000000238418579
arg,f,1991,1.899999976158142
arg,mf,1992,1.2000000476837158
arg,m,1992,0.699999988079071
arg,f,1992,2.0999999046325684
arg,mf,1993,1.2999999523162842
arg,m,1993,0.699999988079071
arg,f,1993,2.200000047683716
arg,mf,1994,1.600000023841858
arg,m,1994,1.0
arg,f,1994,2.5999999046325684
arg,mf,1995,1.399999976158142
arg,m,1995,1.0
arg,f,1995,2.0999999046325684
arg,mf,1996,1.7000000476837158
arg,m,1996,1.0
arg,f,1996,2.799999952316284
arg,mf,1997,1.5
arg,m,1997,1.0
arg,f,1997,2.4000000953674316
arg,mf,1998,1.2999999523162842
arg,m,1998,0.800000011920929
arg,f,1998,2.200000047683716
arg,mf,1999,1.399999976158142
arg,m,1999,0.8999999761581421
arg,f,1999,2.0
arg,mf,2000,1.2000000476837158
arg,m,2000,0.699999988079071
arg,f,2000,1.7999999523162842
arg,mf,2001,1.100000023841858
arg,m,2001,0.6000000238418579
arg,f,2001,1.7999999523162842
arg,mf,2002,1.100000023841858
arg,m,2002,0.800000011920929
arg,f,2002,1.600000023841858
arg,mf,2003,1.7000000476837158
arg,m,2003,1.100000023841858
arg,f,2003,2.4000000953674316
arg,mf,2004,1.399999976158142
arg,m,2004,0.699999988079071
arg,f,2004,2.200000047683716
arg,mf,2005,1.2000000476837158
arg,m,2005,0.699999988079071
arg,f,2005,1.899999976158142
arg,mf,2006,1.100000023841858
arg,m,2006,0.699999988079071
arg,f,2006,1.600000023841858
arg,mf,2007,0.8999999761581421
arg,m,2007,0.6000000238418579
arg,f,2007,1.399999976158142
arg,mf,2008,0.699999988079071
arg,m,2008,0.4000000059604645
arg,f,2008,1.2000000476837158
arg,mf,2009,0.699999988079071
arg,m,2009,0.4000000059604645
arg,f,2009,1.2000000476837158
arg,mf,2010,0.800000011920929
arg,m,2010,0.5
arg,f,2010,1.2000000476837158
arg,mf,2011,0.699999988079071
arg,m,2011,0.4000000059604645
arg,f,2011,1.2000000476837158
arg,mf,2012,0.5
arg,m,2012,0.30000001192092896
arg,f,2012,0.800000011920929
arg,mf,2013,0.699999988079071
arg,m,2013,0.4000000059604645
arg,f,2013,1.0
arm,mf,2007,0.10000000149011612
arm,mf,2013,12.199999809265137
arm,m,2013,6.5
arm,f,2013,18.5
abw,mf,1991,0.30000001192092896
abw,m,1991,0.10000000149011612
abw,f,1991,0.6000000238418579
abw,mf,1994,0.30000001192092896
abw,m,1994,0.0
abw,f,1994,0.6000000238418579
abw,mf,1997,0.5
abw,mf,2000,0.30000001192092896
abw,m,2000,0.20000000298023224
abw,f,2000,0.4000000059604645
abw,mf,2007,0.20000000298023224
abw,m,2007,0.10000000149011612
abw,f,2007,0.4000000059604645
abw,mf,2010,0.20000000298023224
abw,m,2010,0.10000000149011612
abw,f,2010,0.20000000298023224
aus,mf,1980,0.4000000059604645
aus,m,1980,0.30000001192092896
aus,f,1980,0.6000000238418579
aus,mf,1981,0.4000000059604645
aus,m,1981,0.30000001192092896
aus,f,1981,0.6000000238418579
aus,mf,1982,0.4000000059604645
aus,m,1982,0.30000001192092896
aus,f,1982,0.6000000238418579
aus,mf,1983,0.4000000059604645
aus,m,1983,0.30000001192092896
aus,f,1983,0.6000000238418579
aus,mf,1984,0.4000000059604645
aus,m,1984,0.30000001192092896
aus,f,1984,0.5
aus,mf,1985,0.4000000059604645
aus,m,1985,0.30000001192092896
aus,f,1985,0.5
aus,mf,1986,0.8999999761581421
aus,m,1986,0.6000000238418579
aus,f,1986,1.399999976158142
aus,mf,1987,1.0
aus,m,1987,0.6000000238418579
aus,f,1987,1.5
aus,mf,1988,1.0
aus,m,1988,0.699999988079071
aus,f,1988,1.399999976158142
aus,mf,1989,0.8999999761581421
aus,m,1989,0.6000000238418579
aus,f,1989,1.2999999523162842
aus,mf,1990,0.800000011920929
aus,m,1990,0.6000000238418579
aus,f,1990,1.2000000476837158
aus,mf,1991,0.8999999761581421
aus,m,1991,0.699999988079071
aus,f,1991,1.2000000476837158
aus,mf,1992,1.0
aus,m,1992,0.699999988079071
aus,f,1992,1.399999976158142
aus,mf,1993,1.0
aus,m,1993,0.800000011920929
aus,f,1993,1.399999976158142
aus,mf,1994,1.0
aus,m,1994,0.699999988079071
aus,f,1994,1.399999976158142
aus,mf,1995,0.8999999761581421
aus,m,1995,0.699999988079071
aus,f,1995,1.2999999523162842
aus,mf,1996,0.8999999761581421
aus,m,1996,0.6000000238418579
aus,f,1996,1.2000000476837158
aus,mf,1997,0.800000011920929
aus,m,1997,0.6000000238418579
aus,f,1997,1.2000000476837158
aus,mf,1998,0.699999988079071
aus,m,1998,0.5
aus,f,1998,1.0
aus,mf,1999,0.800000011920929
aus,m,1999,0.5
aus,f,1999,1.100000023841858
aus,mf,2000,0.800000011920929
aus,m,2000,0.6000000238418579
aus,f,2000,1.100000023841858
aus,mf,2001,0.5
aus,m,2001,0.4000000059604645
aus,f,2001,0.699999988079071
aus,mf,2002,0.4000000059604645
aus,m,2002,0.30000001192092896
aus,f,2002,0.6000000238418579
aus,mf,2003,0.4000000059604645
aus,m,2003,0.30000001192092896
aus,f,2003,0.5
aus,mf,2004,0.4000000059604645
aus,m,2004,0.30000001192092896
aus,f,2004,0.5
aus,mf,2005,0.30000001192092896
aus,m,2005,0.20000000298023224
aus,f,2005,0.4000000059604645
aus,mf,2006,0.30000001192092896
aus,m,2006,0.20000000298023224
aus,f,2006,0.4000000059604645
aus,mf,2007,0.30000001192092896
aus,m,2007,0.20000000298023224
aus,f,2007,0.4000000059604645
aus,mf,2008,0.20000000298023224
aus,m,2008,0.20000000298023224
aus,f,2008,0.30000001192092896
aus,mf,2009,0.30000001192092896
aus,m,2009,0.20000000298023224
aus,f,2009,0.4000000059604645
aus,mf,2010,0.30000001192092896
aus,m,2010,0.20000000298023224
aus,f,2010,0.30000001192092896
aus,mf,2011,0.20000000298023224
aus,m,2011,0.20000000298023224
aus,f,2011,0.30000001192092896
aus,mf,2012,0.20000000298023224
aus,m,2012,0.10000000149011612
aus,f,2012,0.30000001192092896
aus,mf,2013,0.20000000298023224
aus,m,2013,0.20000000298023224
aus,f,2013,0.30000001192092896
aut,mf,1985,4.400000095367432
aut,mf,1986,4.400000095367432
aut,mf,1987,4.5
aut,mf,1988,4.300000190734863
aut,mf,1989,3.700000047683716
aut,mf,1990,3.5999999046325684
aut,mf,1991,3.700000047683716
aut,mf,1992,3.200000047683716
aut,mf,1993,3.0
aut,mf,1994,3.299999952316284
aut,mf,1995,3.4000000953674316
aut,m,1995,1.899999976158142
aut,f,1995,5.300000190734863
aut,mf,1996,3.5999999046325684
aut,m,1996,2.200000047683716
aut,f,1996,5.5
aut,mf,1997,3.0999999046325684
aut,m,1997,1.7000000476837158
aut,f,1997,4.900000095367432
aut,mf,1998,2.799999952316284
aut,m,1998,1.600000023841858
aut,f,1998,4.400000095367432
aut,mf,1999,2.799999952316284
aut,m,1999,1.600000023841858
aut,f,1999,4.300000190734863
aut,mf,2000,2.700000047683716
aut,m,2000,1.600000023841858
aut,f,2000,4.099999904632568
aut,mf,2001,2.5999999046325684
aut,m,2001,1.5
aut,f,2001,3.9000000953674316
aut,mf,2002,2.5999999046325684
aut,m,2002,1.600000023841858
aut,f,2002,3.799999952316284
aut,mf,2003,2.0999999046325684
aut,m,2003,1.2999999523162842
aut,f,2003,3.200000047683716
aut,mf,2004,1.0
aut,m,2004,0.5
aut,f,2004,1.600000023841858
aut,mf,2005,1.399999976158142
aut,m,2005,1.0
aut,f,2005,1.899999976158142
aut,mf,2006,1.399999976158142
aut,m,2006,1.0
aut,f,2006,2.0
aut,mf,2007,2.4000000953674316
aut,m,2007,1.899999976158142
aut,f,2007,2.799999952316284
aut,mf,2008,2.299999952316284
aut,m,2008,2.0
aut,f,2008,2.700000047683716
aut,mf,2009,2.200000047683716
aut,m,2009,1.899999976158142
aut,f,2009,2.5999999046325684
aut,mf,2010,2.200000047683716
aut,m,2010,1.899999976158142
aut,f,2010,2.4000000953674316
aut,mf,2011,2.0
aut,m,2011,1.899999976158142
aut,f,2011,2.200000047683716
aut,mf,2012,1.899999976158142
aut,m,2012,1.7999999523162842
aut,f,2012,2.0999999046325684
aut,mf,2013,1.7999999523162842
aut,m,2013,1.7000000476837158
aut,f,2013,2.0
aut,mf,2014,2.0
aut,m,2014,2.0
aut,f,2014,2.0999999046325684
aze,mf,2003,18.899999618530273
aze,m,2003,17.200000762939453
aze,f,2003,20.700000762939453
aze,mf,2004,18.600000381469727
aze,m,2004,18.600000381469727
aze,f,2004,18.600000381469727
aze,mf,2005,16.799999237060547
aze,m,2005,16.799999237060547
aze,f,2005,16.799999237060547
aze,mf,2009,28.799999237060547
aze,m,2009,27.5
aze,f,2009,30.200000762939453
aze,mf,2010,29.200000762939453
aze,m,2010,27.5
aze,f,2010,31.0
aze,mf,2011,29.5
aze,m,2011,27.100000381469727
aze,f,2011,32.099998474121094
aze,mf,2012,29.700000762939453
aze,m,2012,26.700000762939453
aze,f,2012,32.900001525878906
aze,mf,2013,29.899999618530273
aze,m,2013,26.299999237060547
aze,f,2013,33.70000076293945
bhs,mf,1991,0.5
bhs,m,1991,0.30000001192092896
bhs,f,1991,0.699999988079071
bhs,mf,1992,0.4000000059604645
bhs,m,1992,0.20000000298023224
bhs,f,1992,0.6000000238418579
bhs,mf,1993,0.4000000059604645
bhs,m,1993,0.30000001192092896
bhs,f,1993,0.6000000238418579
bhs,mf,1994,0.4000000059604645
bhs,m,1994,0.30000001192092896
bhs,f,1994,0.4000000059604645
bhs,mf,1995,0.6000000238418579
bhs,m,1995,0.20000000298023224
bhs,f,1995,1.0
bhs,mf,1996,0.699999988079071
bhs,m,1996,0.30000001192092896
bhs,f,1996,1.100000023841858
bhs,mf,1997,0.20000000298023224
bhs,m,1997,0.20000000298023224
bhs,f,1997,0.20000000298023224
bhs,mf,1998,0.20000000298023224
bhs,m,1998,0.10000000149011612
bhs,f,1998,0.4000000059604645
bhs,mf,1999,0.20000000298023224
bhs,m,1999,0.10000000149011612
bhs,f,1999,0.4000000059604645
bhs,mf,2001,0.10000000149011612
bhs,m,2001,0.0
bhs,f,2001,0.20000000298023224
bhs,mf,2002,0.4000000059604645
bhs,m,2002,0.10000000149011612
bhs,f,2002,0.699999988079071
bhs,mf,2003,0.20000000298023224
bhs,m,2003,0.20000000298023224
bhs,f,2003,0.10000000149011612
bhs,mf,2004,0.20000000298023224
bhs,m,2004,0.0
bhs,f,2004,0.5
bhs,mf,2008,0.20000000298023224
bhs,m,2008,0.10000000149011612
bhs,f,2008,0.30000001192092896
bhs,mf,2011,0.30000001192092896
bhs,m,2011,0.20000000298023224
bhs,f,2011,0.4000000059604645
bhr,mf,2002,0.6000000238418579
bhr,m,2002,0.5
bhr,f,2002,0.800000011920929
bhr,mf,2003,0.6000000238418579
bhr,m,2003,0.5
bhr,f,2003,0.800000011920929
bhr,mf,2004,0.10000000149011612
bhr,m,2004,0.10000000149011612
bhr,f,2004,0.10000000149011612
bhr,mf,2005,0.6000000238418579
