country,sex,year,contributing_family_workers_d_000
alb,mf,2009,338.3169860839844
alb,m,2009,107.81300354003906
alb,f,2009,230.50399780273438
alb,mf,2011,364.1629943847656
alb,m,2011,143.1719970703125
alb,f,2011,220.99099731445312
alb,mf,2012,416.66400146484375
alb,m,2012,162.0330047607422
alb,f,2012,254.63099670410156
alb,mf,2013,336.9289855957031
alb,m,2013,134.9720001220703
alb,f,2013,201.95700073242188
dza,mf,2001,525.5999755859375
dza,m,2001,471.70001220703125
dza,f,2001,53.79999923706055
dza,mf,2003,484.1000061035156
dza,m,2003,416.6000061035156
dza,f,2003,67.5
dza,mf,2004,639.5999755859375
dza,m,2004,454.79998779296875
dza,f,2004,184.8000030517578
dza,mf,2005,582.0469970703125
dza,m,2005,496.19500732421875
dza,f,2005,85.85099792480469
dza,mf,2008,477.0
dza,m,2008,363.0
dza,f,2008,114.0
dza,mf,2009,473.0
dza,m,2009,397.0
dza,f,2009,77.0
dza,mf,2010,404.0
dza,m,2010,278.0
dza,f,2010,125.0
dza,mf,2011,202.0
dza,m,2011,168.0
dza,f,2011,34.0
dza,mf,2013,231.0
dza,m,2013,176.0
dza,f,2013,56.0
dza,mf,2014,165.0
dza,m,2014,137.0
dza,f,2014,28.0
asm,mf,1990,0.02800000086426735
asm,m,1990,0.008999999612569809
asm,f,1990,0.01899999938905239
asm,mf,2000,0.03400000184774399
aia,mf,2001,0.3370000123977661
aia,m,2001,0.24199999868869781
aia,f,2001,0.0949999988079071
atg,mf,1991,0.2199999988079071
atg,m,1991,0.10999999940395355
atg,f,1991,0.10999999940395355
atg,mf,2001,0.1720000058412552
atg,m,2001,0.0820000022649765
atg,f,2001,0.09000000357627869
arg,mf,1990,58.7400016784668
arg,m,1990,19.799999237060547
arg,f,1990,38.959999084472656
arg,mf,1991,43.709999084472656
arg,m,1991,14.979999542236328
arg,f,1991,28.739999771118164
arg,mf,1992,53.22999954223633
arg,m,1992,20.030000686645508
arg,f,1992,33.220001220703125
arg,mf,1993,55.0
arg,m,1993,19.549999237060547
arg,f,1993,35.459999084472656
arg,mf,1994,70.11000061035156
arg,m,1994,28.239999771118164
arg,f,1994,41.880001068115234
arg,mf,1995,58.880001068115234
arg,m,1995,25.420000076293945
arg,f,1995,33.470001220703125
arg,mf,1996,122.69999694824219
arg,m,1996,44.0
arg,f,1996,78.69999694824219
arg,mf,1997,121.0999984741211
arg,m,1997,49.79999923706055
arg,f,1997,71.30000305175781
arg,mf,1998,109.69999694824219
arg,m,1998,39.20000076293945
arg,f,1998,70.5999984741211
arg,mf,1999,112.19999694824219
arg,m,1999,44.599998474121094
arg,f,1999,67.5999984741211
arg,mf,2000,95.30000305175781
arg,m,2000,33.900001525878906
arg,f,2000,61.400001525878906
arg,mf,2001,88.9000015258789
arg,m,2001,30.0
arg,f,2001,58.79999923706055
arg,mf,2002,89.30000305175781
arg,m,2002,36.400001525878906
arg,f,2002,52.900001525878906
arg,mf,2003,148.39999389648438
arg,m,2003,56.599998474121094
arg,f,2003,91.69999694824219
arg,mf,2004,127.5
arg,m,2004,40.400001525878906
arg,f,2004,87.0
arg,mf,2005,117.5999984741211
arg,m,2005,38.79999923706055
arg,f,2005,78.80000305175781
arg,mf,2006,112.0
arg,m,2006,42.70000076293945
arg,f,2006,69.30000305175781
arg,mf,2007,96.0979995727539
arg,m,2007,35.2859992980957
arg,f,2007,60.81100082397461
arg,mf,2008,73.91400146484375
arg,m,2008,22.773000717163086
arg,f,2008,51.13999938964844
arg,mf,2009,75.1729965209961
arg,m,2009,24.191999435424805
arg,f,2009,50.98099899291992
arg,mf,2010,82.58200073242188
arg,m,2010,28.216999053955078
arg,f,2010,54.3650016784668
arg,mf,2011,77.39900207519531
arg,m,2011,25.195999145507812
arg,f,2011,52.202999114990234
arg,mf,2012,59.637001037597656
arg,m,2012,21.40399932861328
arg,f,2012,38.233001708984375
arg,mf,2013,105.9520034790039
arg,m,2013,37.5359992980957
arg,f,2013,68.41600036621094
arm,mf,2007,0.699999988079071
arm,mf,2013,142.55499267578125
arm,m,2013,39.61899948120117
arm,f,2013,102.93599700927734
abw,mf,1991,0.09000000357627869
abw,m,1991,0.017999999225139618
abw,f,1991,0.07199999690055847
abw,mf,1994,0.10000000149011612
abw,m,1994,0.009999999776482582
abw,f,1994,0.09000000357627869
abw,mf,1997,0.2199999988079071
abw,mf,2000,0.13300000131130219
abw,m,2000,0.04800000041723251
abw,f,2000,0.08500000089406967
abw,mf,2007,0.125
abw,m,2007,0.026000000536441803
abw,f,2007,0.0989999994635582
abw,mf,2010,0.07800000160932541
abw,m,2010,0.026000000536441803
abw,f,2010,0.052000001072883606
aus,mf,1980,25.899999618530273
aus,m,1980,12.100000381469727
aus,f,1980,13.800000190734863
aus,mf,1981,24.200000762939453
aus,m,1981,10.5
aus,f,1981,13.699999809265137
aus,mf,1982,27.600000381469727
aus,m,1982,12.399999618530273
aus,f,1982,15.100000381469727
aus,mf,1983,27.5
aus,m,1983,13.0
aus,f,1983,14.600000381469727
aus,mf,1984,23.899999618530273
aus,m,1984,12.100000381469727
aus,f,1984,11.800000190734863
aus,mf,1985,26.386999130249023
aus,m,1985,12.86299991607666
aus,f,1985,13.52400016784668
aus,mf,1986,62.625999450683594
aus,m,1986,25.351999282836914
aus,f,1986,37.27399826049805
aus,mf,1987,68.28099822998047
aus,m,1987,26.871999740600586
aus,f,1987,41.409000396728516
aus,mf,1988,73.36599731445312
aus,m,1988,30.55500030517578
aus,f,1988,42.81100082397461
aus,mf,1989,65.67900085449219
aus,m,1989,25.992000579833984
aus,f,1989,39.6870002746582
aus,mf,1990,66.28199768066406
aus,m,1990,26.93600082397461
aus,f,1990,39.34700012207031
aus,mf,1991,69.43299865722656
aus,m,1991,30.43400001525879
aus,f,1991,38.999000549316406
aus,mf,1992,74.20899963378906
aus,m,1992,30.05699920654297
aus,f,1992,44.152000427246094
aus,mf,1993,79.6050033569336
aus,m,1993,34.50899887084961
aus,f,1993,45.09600067138672
aus,mf,1994,76.2020034790039
aus,m,1994,29.952999114990234
aus,f,1994,46.249000549316406
aus,mf,1995,75.28800201416016
aus,m,1995,30.45599937438965
aus,f,1995,44.832000732421875
aus,mf,1996,73.64800262451172
aus,m,1996,30.08099937438965
aus,f,1996,43.56700134277344
aus,mf,1997,70.70800018310547
aus,m,1997,25.972000122070312
aus,f,1997,44.73699951171875
aus,mf,1998,60.483001708984375
aus,m,1998,24.41699981689453
aus,f,1998,36.066001892089844
aus,mf,1999,69.08699798583984
aus,m,1999,26.173999786376953
aus,f,1999,42.9119987487793
aus,mf,2000,69.70899963378906
aus,m,2000,28.12299919128418
aus,f,2000,41.58599853515625
aus,mf,2001,49.236000061035156
aus,m,2001,21.06599998474121
aus,f,2001,28.170000076293945
aus,mf,2002,41.09400177001953
aus,m,2002,16.97800064086914
aus,f,2002,24.115999221801758
aus,mf,2003,36.52299880981445
aus,m,2003,14.479000091552734
aus,f,2003,22.04400062561035
aus,mf,2004,36.34299850463867
aus,m,2004,14.821999549865723
aus,f,2004,21.520999908447266
aus,mf,2005,32.32500076293945
aus,m,2005,12.857999801635742
aus,f,2005,19.465999603271484
aus,mf,2006,30.93000030517578
aus,m,2006,12.142000198364258
aus,f,2006,18.788000106811523
aus,mf,2007,28.134000778198242
aus,m,2007,11.64799976348877
aus,f,2007,16.486000061035156
aus,mf,2008,24.427000045776367
aus,m,2008,10.111000061035156
aus,f,2008,14.315999984741211
aus,mf,2009,27.82900047302246
aus,m,2009,10.404000282287598
aus,f,2009,17.423999786376953
aus,mf,2010,28.753000259399414
aus,m,2010,13.196999549865723
aus,f,2010,15.555999755859375
aus,mf,2011,26.104000091552734
aus,m,2011,10.949999809265137
aus,f,2011,15.154000282287598
aus,mf,2012,21.892000198364258
aus,m,2012,8.74899959564209
aus,f,2012,13.144000053405762
aus,mf,2013,25.88800048828125
aus,m,2013,12.28499984741211
aus,f,2013,13.602999687194824
aut,mf,1985,142.0
aut,mf,1986,146.0
aut,mf,1987,150.0
aut,mf,1988,143.0
aut,mf,1989,125.0
aut,mf,1990,124.0
aut,mf,1991,129.0
aut,mf,1992,114.0
aut,mf,1993,109.0
aut,mf,1994,123.0
aut,mf,1995,125.11199951171875
aut,m,1995,40.566001892089844
aut,f,1995,84.5459976196289
aut,mf,1996,130.03799438476562
aut,m,1996,44.354000091552734
aut,f,1996,85.68299865722656
aut,mf,1997,110.43099975585938
aut,m,1997,33.652000427246094
aut,f,1997,76.77899932861328
aut,mf,1998,101.46900177001953
aut,m,1998,31.95199966430664
aut,f,1998,69.51699829101562
aut,mf,1999,103.11399841308594
aut,m,1999,33.382999420166016
aut,f,1999,69.73100280761719
aut,mf,2000,100.43499755859375
aut,m,2000,33.64699935913086
aut,f,2000,66.78700256347656
aut,mf,2001,95.15299987792969
aut,m,2001,31.559999465942383
aut,f,2001,63.59400177001953
aut,mf,2002,93.65299987792969
aut,m,2002,31.290000915527344
aut,f,2002,62.362998962402344
aut,mf,2003,79.70899963378906
aut,m,2003,26.378000259399414
aut,f,2003,53.33100128173828
aut,mf,2004,36.882999420166016
aut,m,2004,10.284000396728516
aut,f,2004,26.599000930786133
aut,mf,2005,51.89500045776367
aut,m,2005,20.104999542236328
aut,f,2005,31.790000915527344
aut,mf,2006,55.27199935913086
aut,m,2006,20.62700080871582
aut,f,2006,34.645999908447266
aut,mf,2007,92.26799774169922
aut,m,2007,41.55799865722656
aut,f,2007,50.70899963378906
aut,mf,2008,92.33399963378906
aut,m,2008,43.676998138427734
aut,f,2008,48.65700149536133
aut,mf,2009,87.18900299072266
aut,m,2009,39.70500183105469
aut,f,2009,47.48400115966797
aut,mf,2010,86.6520004272461
aut,m,2010,41.37200164794922
aut,f,2010,45.279998779296875
aut,mf,2011,81.78199768066406
aut,m,2011,40.5
aut,f,2011,41.28200149536133
aut,mf,2012,78.6500015258789
aut,m,2012,39.33100128173828
aut,f,2012,39.319000244140625
aut,mf,2013,75.64199829101562
aut,m,2013,37.808998107910156
aut,f,2013,37.83300018310547
aut,mf,2014,82.87999725341797
aut,m,2014,43.03900146484375
aut,f,2014,39.840999603271484
aze,mf,2003,708.2999877929688
aze,m,2003,338.0
aze,f,2003,370.29998779296875
aze,mf,2004,708.5
aze,m,2004,371.20001220703125
aze,f,2004,337.29998779296875
aze,mf,2005,646.7999877929688
aze,m,2005,338.79998779296875
aze,f,2005,308.0
aze,mf,2009,1232.1429443359375
aze,m,2009,605.8280029296875
aze,f,2009,626.3150024414062
aze,mf,2010,1264.2650146484375
aze,m,2010,613.27001953125
aze,f,2010,650.9949951171875
aze,mf,2011,1291.5999755859375
aze,m,2011,608.7000122070312
aze,f,2011,682.9000244140625
aze,mf,2012,1320.300048828125
aze,m,2012,610.7999877929688
aze,f,2012,709.5
aze,mf,2013,1349.803955078125
aze,m,2013,613.68701171875
aze,f,2013,736.1170043945312
bhs,mf,1991,0.5350000262260437
bhs,m,1991,0.16500000655651093
bhs,f,1991,0.3700000047683716
bhs,mf,1992,0.41999998688697815
bhs,m,1992,0.10999999940395355
bhs,f,1992,0.3100000023841858
bhs,mf,1993,0.5299999713897705
bhs,m,1993,0.20499999821186066
bhs,f,1993,0.32499998807907104
bhs,mf,1994,0.4399999976158142
bhs,m,1994,0.20499999821186066
bhs,f,1994,0.23499999940395355
bhs,mf,1995,0.7350000143051147
bhs,m,1995,0.14499999582767487
bhs,f,1995,0.5899999737739563
bhs,mf,1996,0.8999999761581421
bhs,m,1996,0.22499999403953552
bhs,f,1996,0.675000011920929
bhs,mf,1997,0.3100000023841858
bhs,m,1997,0.1550000011920929
bhs,f,1997,0.15000000596046448
bhs,mf,1998,0.3499999940395355
bhs,m,1998,0.06499999761581421
bhs,f,1998,0.2849999964237213
bhs,mf,1999,0.3199999928474426
bhs,m,1999,0.06499999761581421
bhs,f,1999,0.2549999952316284
bhs,mf,2001,0.1599999964237213
bhs,m,2001,0.03500000014901161
bhs,f,2001,0.125
bhs,mf,2002,0.5699999928474426
bhs,m,2002,0.06499999761581421
bhs,f,2002,0.5049999952316284
bhs,mf,2003,0.2800000011920929
bhs,m,2003,0.17499999701976776
bhs,f,2003,0.10499999672174454
bhs,mf,2004,0.39500001072883606
bhs,m,2004,0.02500000037252903
bhs,f,2004,0.3700000047683716
bhs,mf,2008,0.2849999964237213
bhs,m,2008,0.05999999865889549
bhs,f,2008,0.22499999403953552
bhs,mf,2011,0.4950000047683716
bhs,m,2011,0.17000000178813934
bhs,f,2011,0.32499998807907104
bhr,mf,2002,1.7419999837875366
bhr,m,2002,1.2760000228881836
bhr,f,2002,0.4659999907016754
bhr,mf,2003,1.8650000095367432
bhr,m,2003,1.371000051498413
bhr,f,2003,0.49399998784065247
bhr,mf,2004,0.24199999868869781
bhr,m,2004,0.20000000298023224
bhr,f,2004,0.041999999433755875
bhr,mf,2005,2.299999952316284
bhr,m,2005,1.7009999752044678
bhr,f,2005,0.5989999771118164
bhr,mf,2006,2.5309998989105225
bhr,m,2006,1.8839999437332153
bhr,f,2006,0.6470000147819519
bhr,mf,2007,2.6740000247955322
bhr,m,2007,1.9889999628067017
bhr,f,2007,0.6850000023841858
bhr,mf,2008,2.9210000038146973
bhr,m,2008,2.1530001163482666
bhr,f,2008,0.7670000195503235
bhr,mf,2009,3.188999891281128
bhr,m,2009,2.311000108718872
bhr,f,2009,0.8769999742507935
bhr,mf,2010,3.242000102996826
bhr,m,2010,2.3239998817443848
bhr,f,2010,0.9179999828338623
bgd,mf,1996,21896.0
bgd,m,1996,5785.0
bgd,f,1996,16110.0
bgd,mf,2000,17475.0
bgd,m,2000,3269.0
bgd,f,2000,14206.0
bgd,mf,2003,8140.0
bgd,m,2003,3412.0
bgd,f,2003,4728.0
bgd,mf,2005,10268.0
bgd,m,2005,3488.0
bgd,f,2005,6780.0
bgd,mf,2010,11787.0
bgd,m,2010,2671.0
bgd,f,2010,9116.0
bgd,mf,2011,1560.135009765625
bgd,m,2011,970.4539794921875
bgd,f,2011,589.6810302734375
brb,mf,1990,0.800000011920929
brb,m,1990,0.6000000238418579
brb,f,1990,0.30000001192092896
brb,mf,1991,0.6000000238418579
brb,m,1991,0.4000000059604645
brb,f,1991,0.20000000298023224
brb,mf,1992,0.10000000149011612
brb,m,1992,0.10000000149011612
brb,f,1992,0.10000000149011612
brb,mf,1993,0.5
brb,m,1993,0.4000000059604645
brb,f,1993,0.10000000149011612
brb,mf,1994,0.10000000149011612
brb,m,1994,0.0
brb,f,1994,0.0
brb,mf,1995,0.0
brb,m,1995,0.0
brb,f,1995,0.0
brb,mf,1996,0.30000001192092896
brb,m,1996,0.10000000149011612
brb,f,1996,0.20000000298023224
brb,mf,1997,0.0
brb,m,1997,0.0
brb,f,1997,0.0
brb,mf,1998,0.0
brb,m,1998,0.0
brb,f,1998,0.0
brb,mf,1999,0.10000000149011612
brb,m,1999,0.0
brb,f,1999,0.0
brb,mf,2000,0.20000000298023224
brb,m,2000,0.10000000149011612
brb,f,2000,0.10000000149011612
brb,mf,2001,0.10000000149011612
brb,m,2001,0.0
brb,f,2001,0.10000000149011612
brb,mf,2002,0.10000000149011612
brb,m,2002,0.0
brb,f,2002,0.0
brb,mf,2003,0.0
brb,m,2003,0.0
brb,f,2003,0.0
brb,mf,2004,0.10000000149011612
brb,m,2004,0.0
brb,f,2004,0.10000000149011612
blr,mf,2009,3.869999885559082
blr,m,2009,1.9819999933242798
blr,f,2009,1.8880000114440918
bel,mf,1980,125.0
bel,m,1980,20.0
bel,f,1980,105.0
bel,mf,1981,126.0
bel,m,1981,20.0
bel,f,1981,105.0
bel,mf,1982,127.0
bel,m,1982,21.0
bel,f,1982,107.0
bel,mf,1983,123.24700164794922
