country,sex,year,employers_a_000
alb,mf,2009,16.739999771118164
alb,m,2009,14.951000213623047
alb,f,2009,1.7890000343322754
alb,mf,2011,21.898000717163086
alb,m,2011,15.819999694824219
alb,f,2011,6.078000068664551
alb,mf,2012,17.333999633789062
alb,m,2012,12.185999870300293
alb,f,2012,5.1479997634887695
alb,mf,2013,17.070999145507812
alb,m,2013,12.486000061035156
alb,f,2013,4.585000038146973
dza,mf,2001,434.70001220703125
dza,m,2001,417.5
dza,f,2001,17.200000762939453
dza,mf,2003,397.6000061035156
dza,m,2003,380.79998779296875
dza,f,2003,16.799999237060547
dza,mf,2004,387.79998779296875
dza,m,2004,370.3999938964844
dza,f,2004,17.399999618530273
dza,mf,2011,330.0
dza,m,2011,307.0
dza,f,2011,23.0
dza,mf,2013,443.0
dza,m,2013,408.0
dza,f,2013,36.0
dza,mf,2014,432.0
dza,m,2014,409.0
dza,f,2014,23.0
asm,mf,1990,0.2919999957084656
asm,m,1990,0.2280000001192093
asm,f,1990,0.06400000303983688
aia,mf,2001,0.9580000042915344
aia,m,2001,0.3880000114440918
aia,f,2001,0.5699999928474426
atg,mf,1991,1.1200000047683716
atg,m,1991,0.800000011920929
atg,f,1991,0.3199999928474426
atg,mf,2001,1.3179999589920044
atg,m,2001,0.8759999871253967
atg,f,2001,0.44200000166893005
arg,mf,1990,230.14999389648438
arg,m,1990,187.35000610351562
arg,f,1990,42.790000915527344
arg,mf,1991,208.64999389648438
arg,m,1991,178.14999389648438
arg,f,1991,30.489999771118164
arg,mf,1992,236.9600067138672
arg,m,1992,198.8800048828125
arg,f,1992,38.06999969482422
arg,mf,1993,254.7899932861328
arg,m,1993,203.0800018310547
arg,f,1993,51.70000076293945
arg,mf,1994,206.72999572753906
arg,m,1994,168.30999755859375
arg,f,1994,38.40999984741211
arg,mf,1995,217.99000549316406
arg,m,1995,180.9499969482422
arg,f,1995,37.040000915527344
arg,mf,1996,344.3999938964844
arg,m,1996,278.1000061035156
arg,f,1996,66.19999694824219
arg,mf,1997,362.1000061035156
arg,m,1997,290.20001220703125
arg,f,1997,71.9000015258789
arg,mf,1998,378.29998779296875
arg,m,1998,301.3999938964844
arg,f,1998,76.9000015258789
