country,sex,year,employers_percentage
alb,mf,2007,2.5999999046325684
alb,m,2007,4.199999809265137
alb,f,2007,0.6000000238418579
alb,mf,2008,1.7999999523162842
alb,m,2008,2.700000047683716
alb,f,2008,0.6000000238418579
alb,mf,2009,1.399999976158142
alb,m,2009,2.299999952316284
alb,f,2009,0.4000000059604645
alb,mf,2010,1.600000023841858
alb,m,2010,2.4000000953674316
alb,f,2010,0.5
alb,mf,2011,1.899999976158142
alb,m,2011,2.4000000953674316
alb,f,2011,1.2000000476837158
alb,mf,2012,1.600000023841858
alb,m,2012,1.899999976158142
alb,f,2012,1.0
alb,mf,2013,1.7000000476837158
alb,m,2013,2.299999952316284
alb,f,2013,1.0
dza,mf,2001,7.0
dza,m,2001,7.800000190734863
dza,f,2001,1.899999976158142
dza,mf,2003,5.900000095367432
dza,m,2003,6.599999904632568
dza,f,2003,1.7999999523162842
dza,mf,2004,5.0
dza,m,2004,5.800000190734863
dza,f,2004,1.2999999523162842
dza,mf,2011,3.4000000953674316
dza,m,2011,3.799999952316284
dza,f,2011,1.5
dza,mf,2013,4.099999904632568
dza,m,2013,4.599999904632568
dza,f,2013,1.899999976158142
dza,mf,2014,4.199999809265137
dza,m,2014,4.800000190734863
dza,f,2014,1.2999999523162842
asm,mf,1990,2.200000047683716
asm,m,1990,2.9000000953674316
asm,f,1990,1.2000000476837158
aia,mf,2001,17.0
aia,m,2001,12.899999618530273
aia,f,2001,21.700000762939453
atg,mf,1991,4.0
atg,m,1991,5.300000190734863
atg,f,1991,2.5
atg,mf,2001,3.5999999046325684
atg,m,2001,4.800000190734863
atg,f,2001,2.4000000953674316
arg,mf,1990,5.400000095367432
arg,m,1990,6.900000095367432
arg,f,1990,2.799999952316284
arg,mf,1991,4.900000095367432
arg,m,1991,6.599999904632568
arg,f,1991,2.0
arg,mf,1992,5.5
arg,m,1992,7.300000190734863
arg,f,1992,2.4000000953674316
arg,mf,1993,5.800000190734863
arg,m,1993,7.400000095367432
arg,f,1993,3.200000047683716
arg,mf,1994,4.800000190734863
arg,m,1994,6.199999809265137
arg,f,1994,2.4000000953674316
arg,mf,1995,5.199999809265137
arg,m,1995,7.0
arg,f,1995,2.299999952316284
arg,mf,1996,4.699999809265137
arg,m,1996,6.0
arg,f,1996,2.4000000953674316
arg,mf,1997,4.599999904632568
arg,m,1997,5.900000095367432
arg,f,1997,2.4000000953674316
arg,mf,1998,4.599999904632568
arg,m,1998,6.0
arg,f,1998,2.4000000953674316
arg,mf,1999,4.5
arg,m,1999,5.800000190734863
arg,f,1999,2.5
arg,mf,2000,4.800000190734863
arg,m,2000,6.0
arg,f,2000,2.9000000953674316
arg,mf,2001,4.400000095367432
arg,m,2001,5.800000190734863
arg,f,2001,2.4000000953674316
arg,mf,2002,3.799999952316284
arg,m,2002,5.099999904632568
arg,f,2002,1.899999976158142
arg,mf,2003,3.799999952316284
arg,m,2003,4.900000095367432
arg,f,2003,2.200000047683716
arg,mf,2004,4.099999904632568
arg,m,2004,5.400000095367432
arg,f,2004,2.4000000953674316
arg,mf,2005,4.099999904632568
arg,m,2005,5.400000095367432
arg,f,2005,2.4000000953674316
arg,mf,2006,4.099999904632568
arg,m,2006,5.300000190734863
arg,f,2006,2.5
arg,mf,2007,4.5
arg,m,2007,5.800000190734863
arg,f,2007,2.5999999046325684
arg,mf,2008,4.599999904632568
arg,m,2008,5.800000190734863
arg,f,2008,2.9000000953674316
arg,mf,2009,4.5
arg,m,2009,5.5
arg,f,2009,3.0
arg,mf,2010,4.5
arg,m,2010,5.599999904632568
arg,f,2010,2.9000000953674316
arg,mf,2011,4.5
arg,m,2011,5.800000190734863
arg,f,2011,2.5999999046325684
arg,mf,2012,4.0
arg,m,2012,4.900000095367432
arg,f,2012,2.700000047683716
arg,mf,2013,4.300000190734863
arg,m,2013,5.400000095367432
arg,f,2013,2.5999999046325684
arm,mf,2007,0.5
