country,sex,year,members_of_producers_cooperatives_c
aia,mf,2001,0.20000000298023224
aia,m,2001,0.20000000298023224
aia,f,2001,0.30000001192092896
arg,mf,2013,0.0
arg,m,2013,0.0
arg,f,2013,0.0
arm,mf,2007,5.599999904632568
aze,mf,2003,0.5
aze,m,2003,0.5
aze,f,2003,0.5
aze,mf,2004,0.5
aze,m,2004,0.5
aze,f,2004,0.5
aze,mf,2005,0.4000000059604645
aze,m,2005,0.4000000059604645
aze,f,2005,0.4000000059604645
aze,mf,2006,0.30000001192092896
aze,m,2006,0.30000001192092896
aze,f,2006,0.20000000298023224
bol,mf,1997,0.4000000059604645
bol,m,1997,0.6000000238418579
bol,f,1997,0.10000000149011612
bol,mf,1999,0.30000001192092896
bol,m,1999,0.6000000238418579
bol,f,1999,0.0
bol,mf,2000,0.30000001192092896
bol,m,2000,0.6000000238418579
bol,f,2000,0.0
bol,mf,2001,0.4000000059604645
bol,m,2001,0.699999988079071
bol,f,2001,0.0
bol,mf,2002,0.30000001192092896
bol,m,2002,0.4000000059604645
bol,f,2002,0.0
bol,mf,2007,0.20000000298023224
bol,m,2007,0.4000000059604645
bol,f,2007,0.0
bol,mf,2011,0.4000000059604645
bol,m,2011,0.699999988079071
bol,f,2011,0.0
civ,mf,2012,0.5
civ,m,2012,0.699999988079071
civ,f,2012,0.20000000298023224
cub,mf,1995,8.300000190734863
cub,m,1995,10.699999809265137
cub,f,1995,4.099999904632568
cub,mf,1996,8.300000190734863
cub,m,1996,10.600000381469727
cub,f,1996,4.099999904632568
cub,mf,1997,8.0
cub,m,1997,10.199999809265137
cub,f,1997,4.0
cub,mf,1998,7.699999809265137
cub,m,1998,9.800000190734863
cub,f,1998,3.799999952316284
cub,mf,1999,7.5
cub,m,1999,9.5
cub,f,1999,3.700000047683716
cub,mf,2000,7.400000095367432
cub,m,2000,9.399999618530273
cub,f,2000,3.700000047683716
cub,mf,2001,7.099999904632568
cub,m,2001,9.0
cub,f,2001,3.5999999046325684
cub,mf,2002,7.0
cub,m,2002,8.800000190734863
cub,f,2002,3.5999999046325684
cub,mf,2003,6.400000095367432
cub,m,2003,8.100000381469727
cub,f,2003,3.299999952316284
cub,mf,2004,6.0
cub,m,2004,7.800000190734863
cub,f,2004,3.0
cub,mf,2005,5.699999809265137
cub,m,2005,7.400000095367432
cub,f,2005,2.799999952316284
cub,mf,2006,5.400000095367432
cub,m,2006,6.599999904632568
cub,f,2006,3.299999952316284
cub,mf,2007,5.0
cub,m,2007,6.599999904632568
cub,f,2007,2.299999952316284
cub,mf,2008,4.699999809265137
cub,m,2008,6.300000190734863
cub,f,2008,2.200000047683716
cub,mf,2009,4.599999904632568
cub,m,2009,6.099999904632568
cub,f,2009,2.0
cub,mf,2010,4.400000095367432
cub,m,2010,5.900000095367432
cub,f,2010,1.899999976158142
cub,mf,2011,4.199999809265137
cub,m,2011,5.699999809265137
cub,f,2011,1.600000023841858
cze,mf,1993,3.700000047683716
cze,m,1993,3.799999952316284
cze,f,1993,3.5999999046325684
cze,mf,1994,2.700000047683716
cze,m,1994,2.799999952316284
cze,f,1994,2.5
cze,mf,1995,2.0
cze,m,1995,2.0999999046325684
cze,f,1995,1.899999976158142
cze,mf,1996,1.7999999523162842
cze,m,1996,1.899999976158142
cze,f,1996,1.7999999523162842
ecu,mf,2013,1.2000000476837158
ecu,m,2013,1.5
ecu,f,2013,0.800000011920929
slv,mf,1993,0.30000001192092896
slv,m,1993,0.5
slv,f,1993,0.10000000149011612
slv,mf,1994,0.6000000238418579
slv,m,1994,0.8999999761581421
slv,f,1994,0.10000000149011612
slv,mf,1995,0.4000000059604645
slv,m,1995,0.6000000238418579
slv,f,1995,0.0
slv,mf,1996,0.4000000059604645
slv,m,1996,0.5
slv,f,1996,0.10000000149011612
slv,mf,1997,0.20000000298023224
slv,m,1997,0.4000000059604645
slv,f,1997,0.0
slv,mf,1998,0.20000000298023224
slv,m,1998,0.20000000298023224
slv,f,1998,0.0
slv,mf,1999,0.4000000059604645
slv,m,1999,0.699999988079071
slv,f,1999,0.10000000149011612
slv,mf,2000,0.4000000059604645
slv,m,2000,0.6000000238418579
slv,f,2000,0.0
