country,sex,year,members_of_producers_cooperatives_thousands
aia,mf,2001,0.013000000268220901
aia,m,2001,0.006000000052154064
aia,f,2001,0.007000000216066837
arg,mf,2013,0.0
arg,m,2013,0.0
arg,f,2013,0.0
arm,mf,2007,66.5
aze,mf,2003,18.100000381469727
aze,m,2003,9.399999618530273
aze,f,2003,8.699999809265137
aze,mf,2004,18.399999618530273
aze,m,2004,9.600000381469727
aze,f,2004,8.800000190734863
aze,mf,2005,14.5
aze,m,2005,7.599999904632568
aze,f,2005,6.900000095367432
aze,mf,2006,10.5
aze,m,2006,6.099999904632568
aze,f,2006,4.400000095367432
bol,mf,1997,7.139999866485596
bol,m,1997,6.369999885559082
bol,f,1997,0.7699999809265137
bol,mf,1999,11.399999618530273
bol,m,1999,11.399999618530273
bol,f,1999,0.0
bol,mf,2000,12.199999809265137
bol,m,2000,12.199999809265137
bol,f,2000,0.0
bol,mf,2001,15.399999618530273
bol,m,2001,14.699999809265137
bol,f,2001,0.699999988079071
bol,mf,2002,9.899999618530273
bol,m,2002,9.600000381469727
bol,f,2002,0.4000000059604645
bol,mf,2007,10.899999618530273
bol,m,2007,10.100000381469727
bol,f,2007,0.800000011920929
bol,mf,2011,19.518999099731445
bol,m,2011,18.714000701904297
bol,f,2011,0.8050000071525574
cok,mf,2011,36.33000183105469
cok,m,2011,35.17399978637695
cok,f,2011,38.362998962402344
civ,mf,2012,46.45800018310547
civ,m,2012,39.25600051879883
civ,f,2012,7.202000141143799
cub,mf,1995,348.6000061035156
cub,m,1995,287.70001220703125
cub,f,1995,60.79999923706055
cub,mf,1996,348.8999938964844
cub,m,1996,288.8999938964844
cub,f,1996,60.0
cub,mf,1997,338.6000061035156
cub,m,1997,279.20001220703125
cub,f,1997,59.29999923706055
cub,mf,1998,328.79998779296875
cub,m,1998,270.5
cub,f,1998,58.29999923706055
cub,mf,1999,324.8999938964844
cub,m,1999,267.29998779296875
cub,f,1999,57.599998474121094
cub,mf,2000,323.3999938964844
cub,m,2000,265.29998779296875
cub,f,2000,58.099998474121094
cub,mf,2001,318.5
cub,m,2001,261.29998779296875
cub,f,2001,57.20000076293945
cub,mf,2002,316.8999938964844
cub,m,2002,257.5
cub,f,2002,59.29999923706055
cub,mf,2003,292.70001220703125
cub,m,2003,238.60000610351562
cub,f,2003,54.099998474121094
cub,mf,2004,280.1000061035156
cub,m,2004,230.10000610351562
cub,f,2004,50.0
cub,mf,2005,271.29998779296875
cub,m,2005,222.8000030517578
cub,f,2005,48.5
cub,mf,2006,257.0
cub,m,2006,198.10000610351562
cub,f,2006,58.900001525878906
cub,mf,2007,242.10000610351562
cub,m,2007,200.39999389648438
cub,f,2007,41.70000076293945
cub,mf,2008,233.8000030517578
cub,m,2008,193.10000610351562
cub,f,2008,40.70000076293945
cub,mf,2009,231.60000610351562
cub,m,2009,192.1999969482422
cub,f,2009,39.400001525878906
cub,mf,2010,217.0
cub,m,2010,181.1999969482422
cub,f,2010,35.79999923706055
cub,mf,2011,208.6999969482422
cub,m,2011,177.89999389648438
cub,f,2011,30.799999237060547
cze,mf,1993,182.0
cze,m,1993,105.0
cze,f,1993,76.0
cze,mf,1994,133.0
cze,m,1994,78.0
cze,f,1994,55.0
cze,mf,1995,99.0
cze,m,1995,58.0
cze,f,1995,42.0
cze,mf,1996,91.0
cze,m,1996,53.0
cze,f,1996,39.0
ecu,mf,2013,82.72699737548828
ecu,m,2013,61.12200164794922
ecu,f,2013,21.604999542236328
slv,mf,1993,5.7779998779296875
slv,m,1993,5.35699987411499
slv,f,1993,0.42100000381469727
slv,mf,1994,10.001999855041504
slv,m,1994,9.189000129699707
slv,f,1994,0.8130000233650208
slv,mf,1995,7.099999904632568
slv,m,1995,6.900000095367432
slv,f,1995,0.10000000149011612
slv,mf,1996,7.5
slv,m,1996,7.0
slv,f,1996,0.5
slv,mf,1997,4.800000190734863
slv,m,1997,4.699999809265137
slv,f,1997,0.20000000298023224
slv,mf,1998,3.299999952316284
slv,m,1998,2.9000000953674316
slv,f,1998,0.4000000059604645
slv,mf,1999,9.5
slv,m,1999,8.600000381469727
slv,f,1999,0.8999999761581421
slv,mf,2000,8.199999809265137
slv,m,2000,8.100000381469727
slv,f,2000,0.20000000298023224
slv,mf,2001,3.4000000953674316
slv,m,2001,3.299999952316284
slv,f,2001,0.10000000149011612
slv,mf,2002,0.8999999761581421
slv,m,2002,0.800000011920929
slv,f,2002,0.10000000149011612
slv,mf,2003,1.2000000476837158
slv,m,2003,1.100000023841858
slv,f,2003,0.10000000149011612
slv,mf,2004,1.7999999523162842
slv,m,2004,1.600000023841858
slv,f,2004,0.10000000149011612
slv,mf,2005,0.6000000238418579
slv,m,2005,0.6000000238418579
slv,f,2005,0.0
slv,mf,2006,0.4000000059604645
slv,m,2006,0.4000000059604645
slv,f,2006,0.0
slv,mf,2007,0.3269999921321869
slv,m,2007,0.3269999921321869
slv,f,2007,0.0
slv,mf,2008,0.37700000405311584
slv,m,2008,0.2639999985694885
slv,f,2008,0.11299999803304672
slv,mf,2009,0.14399999380111694
slv,m,2009,0.14399999380111694
slv,f,2009,0.0
slv,mf,2010,0.05299999937415123
slv,m,2010,0.05299999937415123
slv,f,2010,0.0
eth,mf,1999,8.800000190734863
eth,m,1999,7.400000095367432
eth,f,1999,1.399999976158142
eth,mf,2005,11.300000190734863
eth,m,2005,9.300000190734863
eth,f,2005,2.0
eth,mf,2006,11.378000259399414
eth,m,2006,8.454000473022461
eth,f,2006,2.9240000247955322
eth,mf,2009,38.88800048828125
eth,m,2009,24.40999984741211
eth,f,2009,14.477999687194824
eth,mf,2010,65.37699890136719
eth,m,2010,41.31399917602539
eth,f,2010,24.062000274658203
eth,mf,2011,39.861000061035156
eth,m,2011,25.582000732421875
eth,f,2011,14.279000282287598
eth,mf,2012,50.87099838256836
eth,m,2012,28.23900032043457
eth,f,2012,22.631999969482422
eth,mf,2013,90.7040023803711
eth,m,2013,62.43199920654297
eth,f,2013,28.27199935913086
gab,mf,1993,0.9089999794960022
gab,m,1993,0.7820000052452087
gab,f,1993,0.12700000405311584
gmb,mf,2012,65.83399963378906
gmb,m,2012,33.54899978637695
gmb,f,2012,32.284000396728516
geo,mf,1998,9.199999809265137
geo,m,1998,7.099999904632568
geo,f,1998,2.0999999046325684
geo,mf,1999,9.199999809265137
geo,m,1999,6.099999904632568
geo,f,1999,3.0999999046325684
geo,mf,2000,11.800000190734863
geo,m,2000,9.399999618530273
geo,f,2000,2.4000000953674316
geo,mf,2001,10.399999618530273
geo,m,2001,7.699999809265137
geo,f,2001,2.700000047683716
geo,mf,2002,2.799999952316284
geo,m,2002,2.299999952316284
geo,f,2002,0.5
gin,mf,2009,7.355000019073486
gin,m,2009,5.013999938964844
gin,f,2009,2.3410000801086426
gin,mf,2010,29.452999114990234
gin,m,2010,5.150000095367432
gin,f,2010,24.30299949645996
gin,mf,2011,7.334000110626221
gin,m,2011,5.002999782562256
gin,f,2011,2.3310000896453857
gin,mf,2012,7.561999797821045
gin,m,2012,5.1579999923706055
gin,f,2012,2.4030001163482666
hnd,mf,1996,8.399999618530273
hnd,m,1996,7.699999809265137
hnd,f,1996,0.699999988079071
hnd,mf,1997,4.0
hnd,m,1997,3.700000047683716
hnd,f,1997,0.20000000298023224
hnd,mf,1998,5.099999904632568
hnd,m,1998,4.699999809265137
hnd,f,1998,0.4000000059604645
hnd,mf,1999,11.5
hnd,m,1999,8.800000190734863
hnd,f,1999,2.5999999046325684
hun,mf,1992,225.0
hun,m,1992,154.0
hun,f,1992,71.0
hun,mf,1993,134.10000610351562
hun,m,1993,91.4000015258789
hun,f,1993,42.70000076293945
hun,mf,1994,103.30000305175781
hun,m,1994,70.5
hun,f,1994,32.79999923706055
hun,mf,1995,84.19999694824219
hun,m,1995,57.900001525878906
hun,f,1995,26.299999237060547
irn,mf,1996,57.0
irn,m,1996,48.0
irn,f,1996,9.0
kaz,mf,2001,97.0
kaz,m,2001,64.80000305175781
kaz,f,2001,31.600000381469727
kaz,mf,2002,64.0
kaz,m,2002,45.400001525878906
kaz,f,2002,18.600000381469727
kaz,mf,2003,75.0
