country,sex,year,not_classified_000
dza,mf,2001,84.5
dza,m,2001,43.900001525878906
dza,f,2001,40.599998474121094
dza,mf,2003,15.199999809265137
dza,m,2003,11.600000381469727
dza,f,2003,3.5999999046325684
dza,mf,2004,26.5
dza,m,2004,22.899999618530273
dza,f,2004,3.5999999046325684
dza,mf,2005,2202.843994140625
dza,m,2005,2028.123046875
dza,f,2005,174.7209930419922
aia,mf,1999,0.574999988079071
aia,m,1999,0.33500000834465027
aia,f,1999,0.23999999463558197
aia,mf,2001,0.5910000205039978
aia,m,2001,0.4090000092983246
aia,f,2001,0.18199999630451202
atg,mf,1991,0.3799999952316284
atg,m,1991,0.20999999344348907
atg,f,1991,0.17000000178813934
atg,mf,2001,3.122999906539917
atg,m,2001,1.5850000381469727
atg,f,2001,1.5379999876022339
arg,mf,1996,6.800000190734863
arg,m,1996,4.900000095367432
arg,f,1996,2.0
arg,mf,1997,6.599999904632568
arg,m,1997,4.5
arg,f,1997,2.0999999046325684
arg,mf,1998,4.699999809265137
arg,m,1998,2.5999999046325684
arg,f,1998,2.0999999046325684
arg,mf,1999,1.899999976158142
arg,m,1999,0.6000000238418579
arg,f,1999,1.2000000476837158
arg,mf,2000,5.400000095367432
arg,m,2000,3.4000000953674316
arg,f,2000,2.0
arg,mf,2001,3.200000047683716
arg,m,2001,1.399999976158142
arg,f,2001,1.7999999523162842
arg,mf,2002,1.7999999523162842
arg,m,2002,1.100000023841858
arg,f,2002,0.699999988079071
arg,mf,2003,9.899999618530273
arg,m,2003,6.300000190734863
arg,f,2003,3.5
arg,mf,2008,1.5729999542236328
arg,m,2008,1.5729999542236328
arg,f,2008,0.0
arg,mf,2009,0.09399999678134918
arg,m,2009,0.0
arg,f,2009,0.09399999678134918
arg,mf,2012,1.062000036239624
arg,m,2012,1.062000036239624
arg,f,2012,0.0
arm,mf,2007,1.399999976158142
arm,mf,2008,143.5
arm,m,2008,47.099998474121094
arm,f,2008,96.4000015258789
arm,mf,2009,200.89999389648438
arm,m,2009,67.9000015258789
arm,f,2009,133.10000610351562
arm,mf,2010,179.60000610351562
arm,m,2010,60.400001525878906
