country,sex,year,not_classified_percentage
dza,mf,2001,1.399999976158142
dza,m,2001,0.800000011920929
dza,f,2001,4.599999904632568
dza,mf,2003,0.20000000298023224
dza,m,2003,0.20000000298023224
dza,f,2003,0.4000000059604645
dza,mf,2004,0.30000001192092896
dza,m,2004,0.4000000059604645
dza,f,2004,0.30000001192092896
dza,mf,2005,27.399999618530273
dza,m,2005,29.5
dza,f,2005,14.899999618530273
ago,mf,2009,0.20000000298023224
aia,mf,1999,9.300000190734863
aia,m,1999,10.199999809265137
aia,f,1999,8.300000190734863
aia,mf,2001,10.5
aia,m,2001,13.600000381469727
aia,f,2001,6.900000095367432
atg,mf,1991,1.399999976158142
atg,m,1991,1.399999976158142
atg,f,1991,1.2999999523162842
atg,mf,2001,8.600000381469727
atg,m,2001,8.699999809265137
atg,f,2001,8.5
arg,mf,1996,0.10000000149011612
arg,m,1996,0.10000000149011612
arg,f,1996,0.10000000149011612
arg,mf,1997,0.10000000149011612
arg,m,1997,0.10000000149011612
arg,f,1997,0.10000000149011612
arg,mf,1998,0.10000000149011612
arg,m,1998,0.10000000149011612
arg,f,1998,0.10000000149011612
arg,mf,1999,0.0
arg,m,1999,0.0
arg,f,1999,0.0
arg,mf,2000,0.10000000149011612
arg,m,2000,0.10000000149011612
arg,f,2000,0.10000000149011612
arg,mf,2001,0.0
arg,m,2001,0.0
arg,f,2001,0.10000000149011612
arg,mf,2002,0.0
arg,m,2002,0.0
arg,f,2002,0.0
arg,mf,2003,0.10000000149011612
arg,m,2003,0.10000000149011612
arg,f,2003,0.10000000149011612
arg,mf,2008,0.0
arg,m,2008,0.0
arg,f,2008,0.0
arg,mf,2009,0.0
arg,m,2009,0.0
arg,f,2009,0.0
arg,mf,2012,0.0
arg,m,2012,0.0
arg,f,2012,0.0
arm,mf,2007,0.10000000149011612
arm,mf,2008,12.100000381469727
arm,m,2008,7.300000190734863
arm,f,2008,17.899999618530273
arm,mf,2009,17.399999618530273
arm,m,2009,11.0
arm,f,2009,24.899999618530273
arm,mf,2010,15.199999809265137
arm,m,2010,9.399999618530273
arm,f,2010,22.0
arm,mf,2011,14.0
arm,m,2011,9.600000381469727
arm,f,2011,18.899999618530273
arm,mf,2012,14.399999618530273
