country,sex,year,own_account_workers_b
alb,mf,2007,34.400001525878906
alb,m,2007,42.599998474121094
alb,f,2007,24.100000381469727
alb,mf,2008,28.200000762939453
alb,m,2008,37.29999923706055
alb,f,2008,17.100000381469727
alb,mf,2009,28.299999237060547
alb,m,2009,34.900001525878906
alb,f,2009,19.600000381469727
alb,mf,2010,28.600000381469727
alb,m,2010,35.900001525878906
alb,f,2010,18.700000762939453
alb,mf,2011,27.799999237060547
alb,m,2011,33.400001525878906
alb,f,2011,20.700000762939453
alb,mf,2012,25.5
alb,m,2012,32.099998474121094
alb,f,2012,17.0
alb,mf,2013,24.100000381469727
alb,m,2013,30.100000381469727
alb,f,2013,16.799999237060547
dza,mf,2001,22.299999237060547
dza,m,2001,21.100000381469727
dza,f,2001,29.700000762939453
dza,mf,2003,21.799999237060547
dza,m,2003,21.299999237060547
dza,f,2003,24.799999237060547
dza,mf,2004,26.700000762939453
dza,m,2004,24.899999618530273
dza,f,2004,35.29999923706055
dza,mf,2005,27.100000381469727
dza,m,2005,27.200000762939453
dza,f,2005,26.700000762939453
dza,mf,2011,27.399999618530273
dza,m,2011,28.5
dza,f,2011,22.0
dza,mf,2013,24.799999237060547
dza,m,2013,25.5
dza,f,2013,21.5
dza,mf,2014,23.200000762939453
dza,m,2014,24.0
dza,f,2014,19.600000381469727
asm,mf,2010,3.0999999046325684
aia,mf,2001,1.7999999523162842
aia,m,2001,2.200000047683716
aia,f,2001,1.399999976158142
atg,mf,1991,13.800000190734863
atg,m,1991,14.600000381469727
atg,f,1991,12.800000190734863
atg,mf,2001,7.599999904632568
atg,m,2001,8.699999809265137
atg,f,2001,6.5
arg,mf,1990,24.200000762939453
arg,m,1990,24.0
arg,f,1990,24.5
arg,mf,1991,23.700000762939453
arg,m,1991,23.200000762939453
arg,f,1991,24.700000762939453
arg,mf,1992,23.100000381469727
arg,m,1992,23.200000762939453
arg,f,1992,23.0
arg,mf,1993,24.100000381469727
arg,m,1993,24.600000381469727
arg,f,1993,23.399999618530273
arg,mf,1994,23.399999618530273
arg,m,1994,23.700000762939453
arg,f,1994,22.799999237060547
arg,mf,1995,22.700000762939453
arg,m,1995,24.0
arg,f,1995,20.600000381469727
arg,mf,1996,22.899999618530273
arg,m,1996,24.399999618530273
arg,f,1996,20.399999618530273
arg,mf,1997,22.100000381469727
arg,m,1997,23.299999237060547
arg,f,1997,20.100000381469727
arg,mf,1998,22.0
arg,m,1998,23.299999237060547
arg,f,1998,19.799999237060547
arg,mf,1999,21.700000762939453
arg,m,1999,23.100000381469727
arg,f,1999,19.600000381469727
arg,mf,2000,21.700000762939453
arg,m,2000,23.600000381469727
arg,f,2000,18.700000762939453
arg,mf,2001,22.700000762939453
arg,m,2001,24.799999237060547
arg,f,2001,19.600000381469727
arg,mf,2002,23.399999618530273
arg,m,2002,27.100000381469727
arg,f,2002,18.399999618530273
arg,mf,2003,20.899999618530273
arg,m,2003,23.899999618530273
arg,f,2003,16.700000762939453
arg,mf,2004,20.399999618530273
arg,m,2004,23.0
arg,f,2004,16.799999237060547
arg,mf,2005,20.200000762939453
arg,m,2005,22.799999237060547
arg,f,2005,16.600000381469727
arg,mf,2006,19.0
arg,m,2006,21.399999618530273
arg,f,2006,15.699999809265137
arg,mf,2007,18.200000762939453
arg,m,2007,20.399999618530273
arg,f,2007,15.100000381469727
arg,mf,2008,18.399999618530273
arg,m,2008,20.700000762939453
arg,f,2008,15.199999809265137
arg,mf,2009,18.899999618530273
arg,m,2009,21.100000381469727
arg,f,2009,15.800000190734863
arg,mf,2010,18.299999237060547
arg,m,2010,20.399999618530273
arg,f,2010,15.300000190734863
arg,mf,2011,17.899999618530273
arg,m,2011,20.0
arg,f,2011,14.899999618530273
arg,mf,2012,18.5
arg,m,2012,20.799999237060547
arg,f,2012,15.300000190734863
arg,mf,2013,19.799999237060547
arg,m,2013,23.0
arg,f,2013,15.300000190734863
arm,mf,1997,42.599998474121094
arm,mf,1998,44.900001525878906
arm,mf,1999,46.20000076293945
arm,mf,2000,47.20000076293945
arm,mf,2001,48.099998474121094
arm,mf,2002,50.0
arm,mf,2003,51.099998474121094
arm,mf,2004,52.400001525878906
arm,mf,2005,51.79999923706055
arm,mf,2006,51.20000076293945
arm,mf,2007,35.599998474121094
arm,mf,2008,29.399999618530273
arm,m,2008,28.899999618530273
arm,f,2008,30.0
arm,mf,2009,25.200000762939453
arm,m,2009,27.600000381469727
arm,f,2009,22.399999618530273
arm,mf,2010,27.5
arm,m,2010,27.5
arm,f,2010,27.5
arm,mf,2011,29.799999237060547
arm,m,2011,30.200000762939453
arm,f,2011,29.299999237060547
arm,mf,2012,28.5
arm,m,2012,30.5
arm,f,2012,26.399999618530273
arm,mf,2013,30.100000381469727
arm,m,2013,30.899999618530273
arm,f,2013,29.299999237060547
abw,mf,1991,3.5999999046325684
abw,m,1991,5.0
abw,f,1991,1.7000000476837158
abw,mf,2000,3.799999952316284
abw,m,2000,5.300000190734863
abw,f,2000,2.0
abw,mf,2007,4.199999809265137
abw,m,2007,5.300000190734863
abw,f,2007,2.9000000953674316
abw,mf,2010,4.0
abw,m,2010,5.699999809265137
abw,f,2010,2.200000047683716
aus,mf,1980,15.600000381469727
aus,m,1980,17.5
aus,f,1980,12.300000190734863
aus,mf,1981,15.199999809265137
aus,m,1981,17.0
aus,f,1981,12.100000381469727
aus,mf,1982,15.199999809265137
aus,m,1982,17.100000381469727
aus,f,1982,12.0
aus,mf,1983,15.199999809265137
aus,m,1983,17.100000381469727
aus,f,1983,12.0
aus,mf,1984,15.300000190734863
aus,m,1984,17.399999618530273
aus,f,1984,11.800000190734863
aus,mf,1985,14.600000381469727
aus,m,1985,16.600000381469727
aus,f,1985,11.5
aus,mf,1986,14.399999618530273
aus,m,1986,16.399999618530273
aus,f,1986,11.399999618530273
aus,mf,1987,14.100000381469727
aus,m,1987,16.200000762939453
aus,f,1987,10.800000190734863
aus,mf,1988,14.100000381469727
aus,m,1988,16.200000762939453
aus,f,1988,10.899999618530273
aus,mf,1989,13.600000381469727
aus,m,1989,15.899999618530273
aus,f,1989,10.399999618530273
aus,mf,1990,13.600000381469727
aus,m,1990,15.899999618530273
aus,f,1990,10.399999618530273
aus,mf,1991,14.600000381469727
aus,m,1991,17.100000381469727
aus,f,1991,11.300000190734863
aus,mf,1992,14.899999618530273
aus,m,1992,17.600000381469727
aus,f,1992,11.300000190734863
aus,mf,1993,15.199999809265137
aus,m,1993,18.0
aus,f,1993,11.5
aus,mf,1994,14.699999809265137
aus,m,1994,17.399999618530273
aus,f,1994,11.0
aus,mf,1995,14.300000190734863
aus,m,1995,17.0
aus,f,1995,10.699999809265137
aus,mf,1996,14.100000381469727
aus,m,1996,16.799999237060547
aus,f,1996,10.600000381469727
aus,mf,1997,14.100000381469727
aus,m,1997,16.600000381469727
aus,f,1997,10.899999618530273
aus,mf,1998,13.899999618530273
aus,m,1998,16.600000381469727
aus,f,1998,10.399999618530273
