country,sex,year,own_account_workers_b_000
alb,mf,2009,328.6759948730469
alb,m,2009,231.37100219726562
alb,f,2009,97.30599975585938
alb,mf,2011,322.2699890136719
alb,m,2011,216.6020050048828
alb,f,2011,105.66899871826172
alb,mf,2012,284.6789855957031
alb,m,2012,201.19400024414062
alb,f,2012,83.48500061035156
alb,mf,2013,239.1320037841797
alb,m,2013,164.20399475097656
alb,f,2013,74.9280014038086
dza,mf,2001,1391.300048828125
dza,m,2001,1129.199951171875
dza,f,2001,262.1000061035156
dza,mf,2003,1457.800048828125
dza,m,2003,1226.4000244140625
dza,f,2003,231.3000030517578
dza,mf,2004,2084.0
dza,m,2004,1605.300048828125
dza,f,2004,478.70001220703125
dza,mf,2005,2183.14794921875
dza,m,2005,1870.0570068359375
dza,f,2005,313.0929870605469
dza,mf,2011,2633.0
dza,m,2011,2291.0
dza,f,2011,343.0
dza,mf,2013,2674.0
dza,m,2013,2265.0
dza,f,2013,409.0
dza,mf,2014,2379.0
dza,m,2014,2040.0
dza,f,2014,338.0
asm,mf,2010,0.5199999809265137
aia,mf,2001,0.10100000351667404
aia,m,2001,0.06499999761581421
aia,f,2001,0.035999998450279236
atg,mf,1991,3.8399999141693115
atg,m,1991,2.190000057220459
atg,f,1991,1.649999976158142
atg,mf,2001,2.756999969482422
atg,m,2001,1.5759999752044678
atg,f,2001,1.180999994277954
arg,mf,1990,1030.5799560546875
arg,m,1990,652.9000244140625
arg,f,1990,377.6700134277344
arg,mf,1991,1001.1599731445312
arg,m,1991,625.22998046875
arg,f,1991,375.92999267578125
arg,mf,1992,994.1099853515625
arg,m,1992,630.0700073242188
arg,f,1992,364.0299987792969
arg,mf,1993,1055.6700439453125
arg,m,1993,674.0999755859375
arg,f,1993,381.55999755859375
arg,mf,1994,1004.219970703125
arg,m,1994,642.1199951171875
arg,f,1994,362.1000061035156
arg,mf,1995,949.5599975585938
arg,m,1995,621.5800170898438
arg,f,1995,327.9700012207031
arg,mf,1996,1684.300048828125
arg,m,1996,1121.5
arg,f,1996,562.7999877929688
arg,mf,1997,1736.4000244140625
arg,m,1997,1142.699951171875
arg,f,1997,593.7999877929688
arg,mf,1998,1817.199951171875
arg,m,1998,1178.0
arg,f,1998,639.0999755859375
arg,mf,1999,1798.699951171875
arg,m,1999,1150.4000244140625
arg,f,1999,648.0999755859375
arg,mf,2000,1789.5
arg,m,2000,1167.300048828125
arg,f,2000,622.2000122070312
arg,mf,2001,1845.9000244140625
arg,m,2001,1197.199951171875
arg,f,2001,648.7000122070312
arg,mf,2002,1879.0999755859375
arg,m,2002,1259.699951171875
arg,f,2002,619.4000244140625
arg,mf,2003,1869.0999755859375
arg,m,2003,1233.5
arg,f,2003,635.5999755859375
arg,mf,2004,1921.4000244140625
arg,m,2004,1253.9000244140625
arg,f,2004,667.5999755859375
arg,mf,2005,1943.0999755859375
arg,m,2005,1264.5
arg,f,2005,678.5999755859375
arg,mf,2006,1905.9000244140625
arg,m,2006,1239.5
arg,f,2006,666.4000244140625
arg,mf,2007,1855.5389404296875
arg,m,2007,1217.073974609375
arg,f,2007,638.4639892578125
arg,mf,2008,1889.6259765625
arg,m,2008,1238.7330322265625
arg,f,2008,650.8930053710938
arg,mf,2009,1962.6099853515625
arg,m,2009,1268.8609619140625
arg,f,2009,693.7490234375
arg,mf,2010,1923.64697265625
arg,m,2010,1254.9510498046875
arg,f,2010,668.6959838867188
arg,mf,2011,1927.001953125
arg,m,2011,1264.3800048828125
arg,f,2011,662.6229858398438
arg,mf,2012,2003.68798828125
arg,m,2012,1314.3809814453125
arg,f,2012,689.3070068359375
arg,mf,2013,3190.657958984375
arg,m,2013,2187.678955078125
