country,sex,year,persons_in_vulnerable_employment_thousands
alb,mf,2009,666.9929809570312
alb,m,2009,339.1839904785156
alb,f,2009,327.80999755859375
alb,mf,2011,686.4329833984375
alb,m,2011,359.77398681640625
alb,f,2011,326.6600036621094
alb,mf,2012,701.343017578125
alb,m,2012,363.22698974609375
alb,f,2012,338.1159973144531
alb,mf,2013,576.0609741210938
alb,m,2013,299.1759948730469
alb,f,2013,276.885986328125
dza,mf,2001,1916.9000244140625
dza,m,2001,1600.9000244140625
dza,f,2001,315.8999938964844
dza,mf,2003,1941.9000244140625
dza,m,2003,1643.0
dza,f,2003,298.79998779296875
dza,mf,2004,2723.60009765625
dza,m,2004,2060.10009765625
dza,f,2004,663.5
dza,mf,2011,2835.0
dza,m,2011,2459.0
dza,f,2011,377.0
dza,mf,2013,2905.0
dza,m,2013,2441.0
dza,f,2013,465.0
aia,mf,2001,0.43799999356269836
aia,m,2001,0.3070000112056732
aia,f,2001,0.13099999725818634
atg,mf,1991,4.059999942779541
atg,m,1991,2.299999952316284
atg,f,1991,1.7599999904632568
atg,mf,2001,2.928999900817871
atg,m,2001,1.6579999923706055
atg,f,2001,1.2710000276565552
arg,mf,1990,1089.3199462890625
arg,m,1990,672.7000122070312
arg,f,1990,416.6300048828125
arg,mf,1991,1044.8699951171875
arg,m,1991,640.2100219726562
arg,f,1991,404.6700134277344
arg,mf,1992,1047.3399658203125
arg,m,1992,650.0999755859375
arg,f,1992,397.25
arg,mf,1993,1110.6700439453125
arg,m,1993,693.6500244140625
arg,f,1993,417.0199890136719
arg,mf,1994,1074.3299560546875
arg,m,1994,670.3599853515625
arg,f,1994,403.9800109863281
arg,mf,1995,1008.4400024414062
arg,m,1995,647.0
arg,f,1995,361.44000244140625
arg,mf,1996,1807.0
arg,m,1996,1165.5
arg,f,1996,641.5
arg,mf,1997,1857.5
arg,m,1997,1192.5
arg,f,1997,665.0999755859375
arg,mf,1998,1926.9000244140625
arg,m,1998,1217.199951171875
arg,f,1998,709.7000122070312
arg,mf,1999,1910.9000244140625
arg,m,1999,1195.0
arg,f,1999,715.7000122070312
arg,mf,2000,1884.800048828125
arg,m,2000,1201.199951171875
arg,f,2000,683.5999755859375
arg,mf,2001,1934.800048828125
arg,m,2001,1227.199951171875
arg,f,2001,707.5
arg,mf,2002,1968.4000244140625
arg,m,2002,1296.0999755859375
arg,f,2002,672.2999877929688
arg,mf,2003,2017.5
arg,m,2003,1290.0999755859375
arg,f,2003,727.2999877929688
arg,mf,2004,2048.89990234375
arg,m,2004,1294.300048828125
arg,f,2004,754.5999755859375
arg,mf,2005,2060.699951171875
arg,m,2005,1303.300048828125
arg,f,2005,757.4000244140625
arg,mf,2006,2017.9000244140625
arg,m,2006,1282.199951171875
arg,f,2006,735.7000122070312
arg,mf,2007,1951.635986328125
arg,m,2007,1252.3609619140625
arg,f,2007,699.2760009765625
arg,mf,2008,1963.5389404296875
arg,m,2008,1261.5059814453125
arg,f,2008,702.0330200195312
arg,mf,2009,2037.782958984375
arg,m,2009,1293.052978515625
arg,f,2009,744.72998046875
arg,mf,2010,2006.22900390625
arg,m,2010,1283.16796875
arg,f,2010,723.0609741210938
arg,mf,2011,2004.4010009765625
arg,m,2011,1289.574951171875
arg,f,2011,714.8259887695312
arg,mf,2012,2063.324951171875
arg,m,2012,1335.7850341796875
arg,f,2012,727.5399780273438
arg,mf,2013,3296.610107421875
