country,sex,year,share_of_vulnerable_employment_in_total_employment_percentage
alb,mf,2009,57.5
alb,m,2009,51.099998474121094
alb,f,2009,65.9000015258789
alb,mf,2011,59.20000076293945
alb,m,2011,55.400001525878906
alb,f,2011,63.79999923706055
alb,mf,2012,62.79999923706055
alb,m,2012,58.0
alb,f,2012,68.9000015258789
alb,mf,2013,58.099998474121094
alb,m,2013,54.79999923706055
alb,f,2013,62.099998474121094
dza,mf,2001,30.799999237060547
dza,m,2001,30.0
dza,f,2001,35.79999923706055
dza,mf,2003,29.100000381469727
dza,m,2003,28.600000381469727
dza,f,2003,32.0
dza,mf,2004,34.900001525878906
dza,m,2004,32.0
dza,f,2004,48.900001525878906
dza,mf,2011,29.5
dza,m,2011,30.600000381469727
dza,f,2011,24.200000762939453
dza,mf,2013,26.899999618530273
dza,m,2013,27.5
dza,f,2013,24.399999618530273
aia,mf,2001,7.800000190734863
aia,m,2001,10.199999809265137
aia,f,2001,5.0
atg,mf,1991,14.600000381469727
atg,m,1991,15.399999618530273
atg,f,1991,13.699999809265137
atg,mf,2001,8.100000381469727
atg,m,2001,9.100000381469727
atg,f,2001,7.0
arg,mf,1990,25.600000381469727
arg,m,1990,24.700000762939453
arg,f,1990,27.0
arg,mf,1991,24.799999237060547
arg,m,1991,23.700000762939453
arg,f,1991,26.600000381469727
arg,mf,1992,24.299999237060547
arg,m,1992,23.899999618530273
arg,f,1992,25.100000381469727
arg,mf,1993,25.399999618530273
arg,m,1993,25.299999237060547
arg,f,1993,25.5
arg,mf,1994,25.0
arg,m,1994,24.700000762939453
arg,f,1994,25.399999618530273
arg,mf,1995,24.100000381469727
arg,m,1995,25.0
arg,f,1995,22.700000762939453
arg,mf,1996,24.5
arg,m,1996,25.299999237060547
arg,f,1996,23.200000762939453
arg,mf,1997,23.600000381469727
arg,m,1997,24.399999618530273
arg,f,1997,22.5
arg,mf,1998,23.299999237060547
arg,m,1998,24.100000381469727
arg,f,1998,22.0
arg,mf,1999,23.100000381469727
arg,m,1999,24.0
arg,f,1999,21.600000381469727
arg,mf,2000,22.799999237060547
arg,m,2000,24.299999237060547
arg,f,2000,20.600000381469727
arg,mf,2001,23.799999237060547
arg,m,2001,25.399999618530273
arg,f,2001,21.399999618530273
arg,mf,2002,24.600000381469727
arg,m,2002,27.899999618530273
arg,f,2002,20.0
arg,mf,2003,22.5
arg,m,2003,25.0
arg,f,2003,19.100000381469727
arg,mf,2004,21.799999237060547
arg,m,2004,23.799999237060547
arg,f,2004,19.0
arg,mf,2005,21.399999618530273
arg,m,2005,23.5
arg,f,2005,18.600000381469727
arg,mf,2006,20.100000381469727
arg,m,2006,22.200000762939453
arg,f,2006,17.299999237060547
arg,mf,2007,19.200000762939453
arg,m,2007,21.0
arg,f,2007,16.600000381469727
arg,mf,2008,19.100000381469727
arg,m,2008,21.0
arg,f,2008,16.399999618530273
arg,mf,2009,19.600000381469727
arg,m,2009,21.5
