country,sex,year,total_self_employed_workers_a_b_c_d
alb,mf,2007,65.30000305175781
alb,m,2007,61.29999923706055
alb,f,2007,70.5
alb,mf,2008,59.599998474121094
alb,m,2008,54.099998474121094
alb,f,2008,66.30000305175781
alb,mf,2009,58.900001525878906
alb,m,2009,53.400001525878906
alb,f,2009,66.30000305175781
alb,mf,2010,56.29999923706055
alb,m,2010,51.5
alb,f,2010,62.5
alb,mf,2011,61.0
alb,m,2011,57.900001525878906
alb,f,2011,65.0
alb,mf,2012,64.30000305175781
alb,m,2012,59.900001525878906
alb,f,2012,70.0
alb,mf,2013,59.79999923706055
alb,m,2013,57.099998474121094
alb,f,2013,63.099998474121094
dza,mf,2001,37.79999923706055
dza,m,2001,37.79999923706055
dza,f,2001,37.70000076293945
dza,mf,2003,35.0
dza,m,2003,35.20000076293945
dza,f,2003,33.79999923706055
dza,mf,2004,39.900001525878906
dza,m,2004,37.70000076293945
dza,f,2004,50.20000076293945
dza,mf,2005,34.400001525878906
dza,m,2005,34.400001525878906
dza,f,2005,34.0
dza,mf,2008,65.0
dza,m,2008,65.9000015258789
dza,f,2008,60.20000076293945
dza,mf,2009,66.9000015258789
dza,m,2009,68.0
dza,f,2009,60.79999923706055
dza,mf,2010,67.0999984741211
dza,m,2010,67.5999984741211
dza,f,2010,64.0999984741211
dza,mf,2011,33.0
dza,m,2011,34.400001525878906
dza,f,2011,25.600000381469727
dza,mf,2013,31.0
dza,m,2013,32.099998474121094
dza,f,2013,26.299999237060547
dza,mf,2014,27.5
dza,m,2014,28.799999237060547
dza,f,2014,21.0
asm,mf,1990,2.4000000953674316
asm,m,1990,3.0
asm,f,1990,1.5
asm,mf,2000,3.5
asm,mf,2010,3.0999999046325684
ago,mf,2009,79.19999694824219
aia,mf,1999,13.699999809265137
aia,m,1999,18.0
aia,f,1999,8.800000190734863
aia,mf,2001,25.0
aia,m,2001,23.299999237060547
aia,f,2001,26.899999618530273
atg,mf,1991,18.600000381469727
atg,m,1991,20.700000762939453
atg,f,1991,16.100000381469727
atg,mf,2001,11.699999809265137
atg,m,2001,13.899999618530273
