country,sex,year,total_self_employed_workers_thousands
alb,mf,2009,683.7329711914062
alb,m,2009,354.135009765625
alb,f,2009,329.5989990234375
alb,mf,2011,708.3309936523438
alb,m,2011,375.5929870605469
alb,f,2011,332.73699951171875
alb,mf,2012,718.677001953125
alb,m,2012,375.4129943847656
alb,f,2012,343.2640075683594
alb,mf,2013,593.1320190429688
alb,m,2013,311.6619873046875
alb,f,2013,281.4700012207031
dza,mf,2001,2351.60009765625
dza,m,2001,2018.4000244140625
dza,f,2001,333.1000061035156
dza,mf,2003,2339.5
dza,m,2003,2023.800048828125
dza,f,2003,315.6000061035156
dza,mf,2004,3111.39990234375
dza,m,2004,2430.5
dza,f,2004,680.9000244140625
dza,mf,2005,2765.195068359375
dza,m,2005,2366.251953125
dza,f,2005,398.9440002441406
dza,mf,2008,5948.0
dza,m,2008,5088.0
dza,f,2008,860.0
dza,mf,2009,6336.0
dza,m,2009,5457.0
dza,f,2009,880.0
dza,mf,2010,6528.0
dza,m,2010,5583.0
dza,f,2010,945.0
dza,mf,2011,3165.0
dza,m,2011,2766.0
dza,f,2011,400.0
dza,mf,2013,3348.0
dza,m,2013,2849.0
dza,f,2013,501.0
dza,mf,2014,2811.0
dza,m,2014,2449.0
dza,f,2014,361.0
asm,mf,1990,0.3199999928474426
asm,m,1990,0.2370000034570694
asm,f,1990,0.08299999684095383
asm,mf,2000,0.5979999899864197
asm,mf,2010,0.5199999809265137
aia,mf,1999,0.8450000286102295
aia,m,1999,0.5899999737739563
aia,f,1999,0.2549999952316284
aia,mf,2001,1.409000039100647
aia,m,2001,0.7009999752044678
aia,f,2001,0.7080000042915344
atg,mf,1991,5.179999828338623
atg,m,1991,3.0999999046325684
atg,f,1991,2.0799999237060547
atg,mf,2001,4.247000217437744
atg,m,2001,2.5339999198913574
atg,f,2001,1.7130000591278076
arg,mf,1990,1319.469970703125
arg,m,1990,860.0499877929688
arg,f,1990,459.4200134277344
arg,mf,1991,1253.52001953125
arg,m,1991,818.3599853515625
arg,f,1991,435.1600036621094
arg,mf,1992,1284.300048828125
arg,m,1992,848.97998046875
arg,f,1992,435.32000732421875
arg,mf,1993,1365.4599609375
arg,m,1993,896.72998046875
arg,f,1993,468.7200012207031
arg,mf,1994,1281.06005859375
arg,m,1994,838.6699829101562
arg,f,1994,442.3900146484375
arg,mf,1995,1226.4300537109375
arg,m,1995,827.9500122070312
arg,f,1995,398.4800109863281
arg,mf,1996,2151.39990234375
arg,m,1996,1443.5999755859375
arg,f,1996,707.7000122070312
arg,mf,1997,2219.60009765625
arg,m,1997,1482.699951171875
arg,f,1997,737.0
arg,mf,1998,2305.199951171875
arg,m,1998,1518.5999755859375
arg,f,1998,786.5999755859375
arg,mf,1999,2283.199951171875
arg,m,1999,1485.0
arg,f,1999,798.0
arg,mf,2000,2280.39990234375
arg,m,2000,1498.9000244140625
arg,f,2000,781.5
arg,mf,2001,2294.60009765625
arg,m,2001,1506.0
arg,f,2001,788.5999755859375
arg,mf,2002,2271.0
arg,m,2002,1534.0
arg,f,2002,736.9000244140625
