country,sex,year,wage_salaried_workers_employees_000
alb,mf,2009,476.8089904785156
alb,m,2009,309.16400146484375
alb,f,2009,167.64500427246094
alb,mf,2011,452.14599609375
alb,m,2011,273.2650146484375
alb,f,2011,178.88099670410156
alb,mf,2012,398.4049987792969
alb,m,2012,250.98300170898438
alb,f,2012,147.42100524902344
alb,mf,2013,398.8970031738281
alb,m,2013,234.3470001220703
alb,f,2013,164.5500030517578
dza,mf,2001,3792.699951171875
dza,m,2001,3282.800048828125
dza,f,2001,509.8999938964844
dza,mf,2003,4329.39990234375
dza,m,2003,3715.5
dza,f,2003,613.9000244140625
dza,mf,2004,4660.60009765625
dza,m,2004,3985.699951171875
dza,f,2004,674.7999877929688
dza,mf,2005,3076.180908203125
dza,m,2005,2475.972900390625
dza,f,2005,600.2080078125
dza,mf,2008,3198.0
dza,m,2008,2630.0
dza,f,2008,568.0
dza,mf,2009,3136.0
dza,m,2009,2569.0
dza,f,2009,567.0
dza,mf,2010,3208.0
dza,m,2010,2679.0
dza,f,2010,529.0
dza,mf,2011,6434.0
dza,m,2011,5273.0
dza,f,2011,1161.0
dza,mf,2013,7440.0
dza,m,2013,6036.0
dza,f,2013,1403.0
dza,mf,2014,7263.0
dza,m,2014,5930.0
dza,f,2014,1333.0
asm,mf,1990,13.140999794006348
asm,m,1990,7.664000034332275
asm,f,1990,5.4770002365112305
asm,mf,2000,16.347999572753906
asm,mf,2010,16.09600067138672
aia,mf,1999,4.760000228881836
aia,m,1999,2.359999895095825
aia,f,1999,2.4000000953674316
aia,mf,2001,3.6440000534057617
aia,m,2001,1.9049999713897705
aia,f,2001,1.7389999628067017
atg,mf,1991,22.290000915527344
atg,m,1991,11.649999618530273
atg,f,1991,10.640000343322754
atg,mf,2001,28.863000869750977
atg,m,2001,14.069000244140625
atg,f,2001,14.793999671936035
arg,mf,1990,2940.090087890625
arg,m,1990,1858.760009765625
arg,f,1990,1081.3299560546875
arg,mf,1991,2962.10009765625
arg,m,1991,1877.8399658203125
arg,f,1991,1084.25
arg,mf,1992,3018.39990234375
arg,m,1992,1869.030029296875
arg,f,1992,1149.3699951171875
arg,mf,1993,3010.989990234375
arg,m,1993,1846.0999755859375
arg,f,1993,1164.8900146484375
arg,mf,1994,3019.43994140625
arg,m,1994,1874.3699951171875
arg,f,1994,1145.06005859375
arg,mf,1995,2951.3701171875
arg,m,1995,1759.97998046875
arg,f,1995,1191.3900146484375
arg,mf,1996,5211.60009765625
arg,m,1996,3155.89990234375
arg,f,1996,2055.800048828125
arg,mf,1997,5632.2001953125
arg,m,1997,3409.800048828125
arg,f,1997,2222.39990234375
arg,mf,1998,5968.7998046875
arg,m,1998,3535.89990234375
arg,f,1998,2432.89990234375
arg,mf,1999,6000.0
arg,m,1999,3485.800048828125
arg,f,1999,2514.199951171875
arg,mf,2000,5975.89990234375
arg,m,2000,3439.60009765625
arg,f,2000,2536.300048828125
arg,mf,2001,5845.60009765625
arg,m,2001,3325.0
arg,f,2001,2520.60009765625
arg,mf,2002,5743.2998046875
arg,m,2002,3118.5
arg,f,2002,2624.800048828125
arg,mf,2003,6590.10009765625
arg,m,2003,3600.699951171875
arg,f,2003,2989.300048828125
arg,mf,2004,6977.60009765625
arg,m,2004,3857.5
arg,f,2004,3120.10009765625
arg,mf,2005,7182.0
arg,m,2005,3956.10009765625
arg,f,2005,3225.89990234375
arg,mf,2006,7608.2998046875
arg,m,2006,4197.2001953125
arg,f,2006,3411.0
arg,mf,2007,7770.2998046875
arg,m,2007,4355.416015625
arg,f,2007,3414.884033203125
arg,mf,2008,7844.9580078125
arg,m,2008,4387.55908203125
arg,f,2008,3457.39794921875
arg,mf,2009,7900.8330078125
arg,m,2009,4380.72314453125
arg,f,2009,3520.110107421875
arg,mf,2010,8050.89501953125
arg,m,2010,4517.82177734375
arg,f,2010,3533.072998046875
arg,mf,2011,8277.6416015625
arg,m,2011,4668.8701171875
arg,f,2011,3608.77099609375
arg,mf,2012,8349.2529296875
arg,m,2012,4686.26611328125
arg,f,2012,3662.987060546875
arg,mf,2013,12115.1298828125
arg,m,2013,6779.74609375
arg,f,2013,5335.3818359375
arm,mf,1997,787.5999755859375
arm,mf,1998,736.2000122070312
arm,mf,1999,699.0
arm,mf,2000,674.9000244140625
arm,mf,2001,656.2999877929688
arm,mf,2002,553.5999755859375
arm,mf,2003,541.4000244140625
arm,mf,2004,515.2000122070312
arm,mf,2005,529.2999877929688
arm,mf,2006,533.5
arm,mf,2007,690.0
arm,mf,2008,686.5999755859375
arm,m,2008,407.0
arm,f,2008,279.6000061035156
arm,mf,2009,655.2999877929688
arm,m,2009,373.0
arm,f,2009,282.29998779296875
arm,mf,2010,673.9000244140625
arm,m,2010,401.8999938964844
arm,f,2010,272.0
arm,mf,2011,653.0
arm,m,2011,362.0
arm,f,2011,291.0
arm,mf,2012,663.094970703125
arm,m,2012,360.7380065917969
arm,f,2012,302.35699462890625
arm,mf,2013,665.5180053710938
arm,m,2013,375.9010009765625
arm,f,2013,289.61700439453125
abw,mf,1991,26.878999710083008
abw,m,1991,15.092000007629395
abw,f,1991,11.786999702453613
abw,mf,1994,32.400001525878906
abw,m,1994,18.3700008392334
abw,f,1994,14.029999732971191
abw,mf,1997,40.15999984741211
abw,mf,2000,37.60200119018555
abw,m,2000,19.4689998626709
abw,f,2000,18.132999420166016
abw,mf,2007,46.709999084472656
abw,m,2007,23.81999969482422
abw,f,2007,22.889999389648438
abw,mf,2010,41.52799987792969
abw,m,2010,20.099000930786133
abw,f,2010,21.429000854492188
aus,mf,1980,5269.5
aus,m,1980,3281.0
aus,f,1980,1988.5999755859375
aus,mf,1981,5399.5
aus,m,1981,3360.60009765625
aus,f,1981,2038.9000244140625
aus,mf,1982,5402.60009765625
aus,m,1982,3345.800048828125
aus,f,1982,2056.800048828125
aus,mf,1983,5305.60009765625
aus,m,1983,3251.89990234375
aus,f,1983,2053.699951171875
aus,mf,1984,5460.89990234375
aus,m,1984,3318.300048828125
aus,f,1984,2142.60009765625
aus,mf,1985,5690.5029296875
aus,m,1985,3429.196044921875
aus,f,1985,2261.30810546875
aus,mf,1986,5906.333984375
aus,m,1986,3514.715087890625
aus,f,1986,2391.6201171875
aus,mf,1987,6058.5771484375
aus,m,1987,3568.68505859375
aus,f,1987,2489.89208984375
aus,mf,1988,6283.4521484375
aus,m,1988,3675.887939453125
aus,f,1988,2607.56396484375
aus,mf,1989,6601.33203125
aus,m,1989,3815.39306640625
aus,f,1989,2785.93896484375
aus,mf,1990,6724.501953125
aus,m,1990,3843.593017578125
aus,f,1990,2880.908935546875
aus,mf,1991,6471.4521484375
aus,m,1991,3654.39306640625
aus,f,1991,2817.06005859375
aus,mf,1992,6396.8740234375
aus,m,1992,3580.85791015625
aus,f,1992,2816.01611328125
aus,mf,1993,6382.06689453125
aus,m,1993,3559.202880859375
aus,f,1993,2822.864013671875
aus,mf,1994,6632.8017578125
aus,m,1994,3695.160888671875
aus,f,1994,2937.64111328125
aus,mf,1995,6925.97705078125
aus,m,1995,3831.822021484375
aus,f,1995,3094.155029296875
aus,mf,1996,7040.2080078125
aus,m,1996,3888.137939453125
aus,f,1996,3152.071044921875
aus,mf,1997,7084.39013671875
aus,m,1997,3910.511962890625
aus,f,1997,3173.8779296875
aus,mf,1998,7238.8369140625
aus,m,1998,3971.59912109375
aus,f,1998,3267.238037109375
aus,mf,1999,7388.90380859375
aus,m,1999,4040.27001953125
aus,f,1999,3348.633056640625
aus,mf,2000,7394.81298828125
aus,m,2000,4011.423095703125
aus,f,2000,3383.389892578125
aus,mf,2001,7756.15283203125
aus,m,2001,4168.31982421875
aus,f,2001,3587.833984375
aus,mf,2002,7897.13623046875
aus,m,2002,4241.96923828125
aus,f,2002,3655.1669921875
aus,mf,2003,8118.99609375
aus,m,2003,4338.9599609375
aus,f,2003,3780.037109375
aus,mf,2004,8262.7880859375
aus,m,2004,4434.0517578125
aus,f,2004,3828.736083984375
aus,mf,2005,8576.93359375
aus,m,2005,4582.1259765625
aus,f,2005,3994.80810546875
aus,mf,2006,8831.6611328125
aus,m,2006,4702.712890625
aus,f,2006,4128.9482421875
aus,mf,2007,9164.0244140625
aus,m,2007,4891.8798828125
aus,f,2007,4272.14404296875
aus,mf,2008,9440.7392578125
aus,m,2008,5036.4951171875
aus,f,2008,4404.244140625
aus,mf,2009,9502.2861328125
aus,m,2009,5019.31494140625
aus,f,2009,4482.97216796875
aus,mf,2010,9693.0947265625
aus,m,2010,5153.2578125
aus,f,2010,4539.8369140625
aus,mf,2011,9911.376953125
aus,m,2011,5268.35498046875
aus,f,2011,4643.02197265625
aus,mf,2012,10113.650390625
aus,m,2012,5380.39892578125
aus,f,2012,4733.25
aus,mf,2013,10255.4404296875
aus,m,2013,5442.3701171875
aus,f,2013,4813.06689453125
aut,mf,1980,2545.0
aut,mf,1981,2575.0
aut,mf,1982,2677.0
aut,mf,1983,2654.0
aut,mf,1984,2740.0
aut,mf,1985,2751.0
aut,mf,1986,2795.0
aut,mf,1987,2809.0
aut,mf,1988,2822.0
aut,mf,1989,2866.0
aut,mf,1990,2929.0
aut,mf,1991,2997.0
aut,mf,1992,3072.0
aut,mf,1993,3108.0
aut,mf,1994,3198.0
aut,mf,1995,3150.833984375
aut,m,1995,1785.6319580078125
aut,f,1995,1365.2020263671875
aut,mf,1996,3095.135009765625
aut,m,1996,1747.64501953125
aut,f,1996,1347.490966796875
aut,mf,1997,3108.89404296875
aut,m,1997,1745.404052734375
aut,f,1997,1363.489013671875
aut,mf,1998,3125.97900390625
aut,m,1998,1744.5
aut,f,1998,1381.47900390625
aut,mf,1999,3174.77099609375
aut,m,1999,1771.0899658203125
aut,f,1999,1403.6810302734375
aut,mf,2000,3185.818115234375
aut,m,2000,1766.5059814453125
aut,f,2000,1419.31201171875
aut,mf,2001,3200.43408203125
aut,m,2001,1766.89794921875
aut,f,2001,1433.5360107421875
aut,mf,2002,3173.866943359375
aut,m,2002,1716.2449951171875
aut,f,2002,1457.6219482421875
aut,mf,2003,3257.094970703125
aut,m,2003,1766.8690185546875
aut,f,2003,1490.2259521484375
aut,mf,2004,3153.14306640625
aut,m,2004,1674.77294921875
aut,f,2004,1478.3709716796875
aut,mf,2005,3262.01708984375
aut,m,2005,1737.633056640625
aut,f,2005,1524.384033203125
aut,mf,2006,3326.783935546875
aut,m,2006,1769.1300048828125
aut,f,2006,1557.654052734375
aut,mf,2007,3386.501953125
aut,m,2007,1805.719970703125
aut,f,2007,1580.781982421875
aut,mf,2008,3453.153076171875
aut,m,2008,1825.7889404296875
aut,f,2008,1627.364013671875
aut,mf,2009,3439.0419921875
aut,m,2009,1796.4739990234375
aut,f,2009,1642.5679931640625
aut,mf,2010,3461.87109375
aut,m,2010,1802.64794921875
aut,f,2010,1659.2220458984375
aut,mf,2011,3514.430908203125
aut,m,2011,1826.156005859375
aut,f,2011,1688.2740478515625
aut,mf,2012,3550.509033203125
aut,m,2012,1837.8990478515625
aut,f,2012,1712.6099853515625
aut,mf,2013,3562.85400390625
aut,m,2013,1841.385986328125
aut,f,2013,1721.468017578125
aut,mf,2014,3566.1689453125
aut,m,2014,1832.5450439453125
aut,f,2014,1733.6240234375
aze,mf,2003,1226.5999755859375
aze,m,2003,671.7000122070312
aze,f,2003,554.9000244140625
aze,mf,2004,1263.9000244140625
aze,m,2004,662.2999877929688
aze,f,2004,601.5999755859375
aze,mf,2005,1300.4000244140625
aze,m,2005,681.4000244140625
aze,f,2005,619.0
aze,mf,2006,1635.300048828125
aze,m,2006,999.2000122070312
aze,f,2006,636.0999755859375
aze,mf,2007,1677.199951171875
aze,m,2007,1025.199951171875
aze,f,2007,652.0999755859375
aze,mf,2008,1719.300048828125
aze,m,2008,977.2000122070312
aze,f,2008,742.0999755859375
aze,mf,2009,1385.4150390625
aze,m,2009,786.6599731445312
aze,f,2009,598.7550048828125
aze,mf,2010,1382.9200439453125
aze,m,2010,786.5159912109375
aze,f,2010,596.4039916992188
aze,mf,2011,1387.5
aze,m,2011,780.2520141601562
aze,f,2011,607.2479858398438
aze,mf,2012,1480.6600341796875
aze,m,2012,857.3930053710938
aze,f,2012,623.2670288085938
aze,mf,2013,1514.0030517578125
aze,m,2013,877.427001953125
aze,f,2013,636.5759887695312
bhs,mf,1991,99.22000122070312
bhs,m,1991,50.06999969482422
bhs,f,1991,49.150001525878906
bhs,mf,1992,98.37999725341797
bhs,m,1992,49.20000076293945
bhs,f,1992,49.18000030517578
bhs,mf,1993,103.8499984741211
bhs,m,1993,53.06999969482422
bhs,f,1993,50.779998779296875
bhs,mf,1994,105.80000305175781
bhs,m,1994,53.61000061035156
bhs,f,1994,52.189998626708984
bhs,mf,1995,108.55000305175781
bhs,m,1995,55.27000045776367
bhs,f,1995,53.279998779296875
bhs,mf,1996,106.0999984741211
bhs,m,1996,55.209999084472656
bhs,f,1996,50.88999938964844
bhs,mf,1997,114.51000213623047
bhs,m,1997,57.54999923706055
bhs,f,1997,56.959999084472656
bhs,mf,1998,122.52999877929688
bhs,m,1998,60.52000045776367
bhs,f,1998,62.0099983215332
bhs,mf,1999,120.98999786376953
bhs,m,1999,60.91999816894531
bhs,f,1999,60.060001373291016
bhs,mf,2001,130.39500427246094
bhs,m,2001,63.77000045776367
bhs,f,2001,66.625
bhs,mf,2002,128.3300018310547
bhs,m,2002,62.165000915527344
bhs,f,2002,66.16500091552734
bhs,mf,2003,131.98500061035156
bhs,m,2003,64.44999694824219
bhs,f,2003,67.53500366210938
bhs,mf,2004,133.625
bhs,m,2004,66.7300033569336
bhs,f,2004,66.8949966430664
bhs,mf,2008,151.36500549316406
bhs,m,2008,75.30500030517578
bhs,f,2008,76.05999755859375
bhs,mf,2011,140.125
bhs,m,2011,66.25499725341797
bhs,f,2011,73.87000274658203
bhr,mf,2002,280.1809997558594
bhr,m,2002,221.38999938964844
bhr,f,2002,58.79100036621094
bhr,mf,2003,308.489013671875
bhr,m,2003,243.75
bhr,f,2003,64.73899841308594
bhr,mf,2004,291.7879943847656
bhr,m,2004,228.0330047607422
bhr,f,2004,63.755001068115234
bhr,mf,2005,388.51800537109375
bhr,m,2005,308.67498779296875
bhr,f,2005,79.84300231933594
bhr,mf,2006,425.14801025390625
bhr,m,2006,338.98199462890625
bhr,f,2006,86.16600036621094
bhr,mf,2007,471.89801025390625
bhr,m,2007,377.60400390625
bhr,f,2007,94.29499816894531
bhr,mf,2008,522.3880004882812
bhr,m,2008,419.22100830078125
bhr,f,2008,103.16600036621094
bhr,mf,2009,577.35400390625
bhr,m,2009,464.4070129394531
bhr,f,2009,112.9469985961914
bhr,mf,2010,577.5599975585938
bhr,m,2010,456.4169921875
bhr,f,2010,121.14299774169922
bgd,mf,1996,6789.0
bgd,m,1996,4978.0
bgd,f,1996,1811.0
bgd,mf,2000,6534.0
bgd,m,2000,4917.0
bgd,f,2000,1617.0
bgd,mf,2003,6083.0
bgd,m,2003,4769.0
bgd,f,2003,1314.0
bgd,mf,2005,6567.0
bgd,m,2005,5249.0
bgd,f,2005,1318.0
bgd,mf,2010,7876.0
bgd,m,2010,6437.0
bgd,f,2010,1439.0
bgd,mf,2011,11741.5703125
bgd,m,2011,9196.2724609375
bgd,f,2011,2545.298095703125
brb,mf,1990,92.0
brb,m,1990,48.79999923706055
brb,f,1990,43.099998474121094
brb,mf,1991,88.5999984741211
brb,m,1991,47.20000076293945
brb,f,1991,41.400001525878906
brb,mf,1992,83.5999984741211
brb,m,1992,43.0
brb,f,1992,40.599998474121094
brb,mf,1993,81.80000305175781
brb,m,1993,42.099998474121094
brb,f,1993,39.70000076293945
brb,mf,1994,91.4000015258789
brb,m,1994,47.400001525878906
brb,f,1994,43.900001525878906
brb,mf,1995,95.4000015258789
brb,m,1995,48.400001525878906
brb,f,1995,47.0
brb,mf,1996,99.80000305175781
brb,m,1996,52.0
brb,f,1996,47.79999923706055
brb,mf,1997,102.5
brb,m,1997,52.5
brb,f,1997,50.0
brb,mf,1998,105.4000015258789
brb,m,1998,54.79999923706055
brb,f,1998,50.599998474121094
brb,mf,1999,107.0
brb,m,1999,54.70000076293945
brb,f,1999,52.400001525878906
brb,mf,2000,112.19999694824219
brb,m,2000,56.20000076293945
brb,f,2000,56.0
brb,mf,2001,112.0
brb,m,2001,56.0
brb,f,2001,56.099998474121094
brb,mf,2002,110.0999984741211
brb,m,2002,54.900001525878906
brb,f,2002,55.099998474121094
brb,mf,2003,110.5
brb,m,2003,54.0
brb,f,2003,56.5
brb,mf,2004,111.4000015258789
brb,m,2004,54.29999923706055
brb,f,2004,57.099998474121094
brb,mf,2013,105.0
brb,m,2013,50.5
brb,f,2013,54.599998474121094
blr,mf,2009,4345.869140625
blr,m,2009,2172.343017578125
blr,f,2009,2173.52587890625
bel,mf,1980,3051.0
bel,m,1980,1973.0
bel,f,1980,1077.0
bel,mf,1981,2976.0
bel,m,1981,1904.0
bel,f,1981,1072.0
bel,mf,1982,2924.0
bel,m,1982,1855.0
bel,f,1982,1069.0
bel,mf,1983,2787.614990234375
bel,m,1983,1841.717041015625
bel,f,1983,945.8980102539062
bel,mf,1984,2768.2109375
bel,m,1984,1821.8070068359375
bel,f,1984,946.405029296875
bel,mf,1985,2809.845947265625
bel,m,1985,1831.2860107421875
bel,f,1985,978.5599975585938
bel,mf,1986,2849.114013671875
bel,m,1986,1838.1519775390625
bel,f,1986,1010.9609985351562
bel,mf,1987,2834.52001953125
bel,m,1987,1807.2010498046875
bel,f,1987,1027.3189697265625
bel,mf,1988,2857.22802734375
bel,m,1988,1797.217041015625
bel,f,1988,1060.010986328125
bel,mf,1989,2896.0048828125
bel,m,1989,1807.906005859375
bel,f,1989,1088.0989990234375
bel,mf,1990,2938.5
bel,m,1990,1812.1719970703125
bel,f,1990,1126.3280029296875
bel,mf,1991,3076.75390625
bel,m,1991,1867.7049560546875
bel,f,1991,1209.0489501953125
bel,mf,1992,3096.950927734375
bel,m,1992,1856.2669677734375
bel,f,1992,1240.6829833984375
bel,mf,1993,3073.10595703125
bel,m,1993,1816.302978515625
bel,f,1993,1256.802978515625
bel,mf,1994,3083.8779296875
bel,m,1994,1817.6829833984375
bel,f,1994,1266.1949462890625
bel,mf,1995,3112.10888671875
bel,m,1995,1842.0439453125
bel,f,1995,1270.06494140625
bel,mf,1996,3108.597900390625
bel,m,1996,1827.6529541015625
bel,f,1996,1280.9449462890625
bel,mf,1997,3176.991943359375
bel,m,1997,1850.8299560546875
bel,f,1997,1326.1619873046875
bel,mf,1998,3186.885986328125
bel,m,1998,1838.2669677734375
bel,f,1998,1348.6190185546875
bel,mf,1999,3298.777099609375
bel,m,1999,1886.35205078125
bel,f,1999,1412.426025390625
bel,mf,2000,3458.998046875
bel,m,2000,1956.81494140625
bel,f,2000,1502.1829833984375
bel,mf,2001,3424.0009765625
bel,m,2001,1945.0799560546875
bel,f,2001,1478.9210205078125
bel,mf,2002,3426.905029296875
bel,m,2002,1937.64501953125
bel,f,2002,1489.260009765625
bel,mf,2003,3440.1279296875
bel,m,2003,1920.364013671875
bel,f,2003,1519.7640380859375
bel,mf,2004,3534.7451171875
bel,m,2004,1946.7449951171875
bel,f,2004,1588.0
bel,mf,2005,3590.3720703125
bel,m,2005,1968.4539794921875
bel,f,2005,1621.91796875
bel,mf,2006,3621.01904296875
bel,m,2006,1969.8480224609375
bel,f,2006,1651.1710205078125
bel,mf,2007,3730.89697265625
bel,m,2007,2017.8289794921875
bel,f,2007,1713.0689697265625
bel,mf,2008,3813.468017578125
bel,m,2008,2042.051025390625
bel,f,2008,1771.4169921875
bel,mf,2009,3766.486083984375
bel,m,2009,1999.8160400390625
bel,f,2009,1766.6700439453125
bel,mf,2010,3844.093994140625
bel,m,2010,2032.3800048828125
bel,f,2010,1811.7139892578125
bel,mf,2011,3864.3798828125
bel,m,2011,2031.595947265625
bel,f,2011,1832.7840576171875
bel,mf,2012,3874.919921875
bel,m,2012,2032.9849853515625
bel,f,2012,1841.93505859375
bel,mf,2013,3847.159912109375
bel,m,2013,1990.093994140625
bel,f,2013,1857.06494140625
bel,mf,2014,3879.5830078125
bel,m,2014,2000.3060302734375
bel,f,2014,1879.2769775390625
blz,mf,1993,43.72999954223633
blz,m,1993,28.920000076293945
blz,f,1993,14.8100004196167
blz,mf,1994,43.314998626708984
