country,sex,year,wage_salaried_workers_employees_percentage
alb,mf,2007,34.599998474121094
alb,m,2007,38.70000076293945
alb,f,2007,29.5
alb,mf,2008,40.400001525878906
alb,m,2008,45.900001525878906
alb,f,2008,33.70000076293945
alb,mf,2009,41.099998474121094
alb,m,2009,46.599998474121094
alb,f,2009,33.70000076293945
alb,mf,2010,43.79999923706055
alb,m,2010,48.5
alb,f,2010,37.5
alb,mf,2011,39.0
alb,m,2011,42.099998474121094
alb,f,2011,35.0
alb,mf,2012,35.70000076293945
alb,m,2012,40.099998474121094
alb,f,2012,30.0
alb,mf,2013,40.20000076293945
alb,m,2013,42.900001525878906
alb,f,2013,36.900001525878906
dza,mf,2001,60.900001525878906
dza,m,2001,61.400001525878906
dza,f,2001,57.70000076293945
dza,mf,2003,64.80000305175781
dza,m,2003,64.5999984741211
dza,f,2003,65.80000305175781
dza,mf,2004,59.79999923706055
dza,m,2004,61.900001525878906
dza,f,2004,49.79999923706055
dza,mf,2005,38.20000076293945
dza,m,2005,36.0
dza,f,2005,51.099998474121094
dza,mf,2008,35.0
dza,m,2008,34.099998474121094
dza,f,2008,39.79999923706055
dza,mf,2009,33.099998474121094
dza,m,2009,32.0
dza,f,2009,39.20000076293945
dza,mf,2010,33.0
dza,m,2010,32.400001525878906
dza,f,2010,35.900001525878906
dza,mf,2011,67.0
dza,m,2011,65.5999984741211
dza,f,2011,74.4000015258789
dza,mf,2013,69.0
dza,m,2013,67.9000015258789
dza,f,2013,73.69999694824219
dza,mf,2014,70.9000015258789
dza,m,2014,69.5999984741211
dza,f,2014,77.4000015258789
asm,mf,1990,97.5999984741211
asm,m,1990,97.0
asm,f,1990,98.5
asm,mf,2000,96.5
asm,mf,2010,96.9000015258789
ago,mf,2009,20.600000381469727
aia,mf,1999,77.0
aia,m,1999,71.80000305175781
aia,f,1999,82.9000015258789
aia,mf,2001,64.5999984741211
aia,m,2001,63.20000076293945
aia,f,2001,66.0999984741211
atg,mf,1991,80.0
atg,m,1991,77.9000015258789
atg,f,1991,82.5
atg,mf,2001,79.69999694824219
atg,m,2001,77.4000015258789
atg,f,2001,82.0
arg,mf,1990,69.0
arg,m,1990,68.4000015258789
arg,f,1990,70.19999694824219
arg,mf,1991,70.30000305175781
arg,m,1991,69.5999984741211
arg,f,1991,71.4000015258789
arg,mf,1992,70.19999694824219
arg,m,1992,68.80000305175781
arg,f,1992,72.5
arg,mf,1993,68.80000305175781
arg,m,1993,67.30000305175781
arg,f,1993,71.30000305175781
arg,mf,1994,70.19999694824219
arg,m,1994,69.0999984741211
arg,f,1994,72.0999984741211
arg,mf,1995,70.5999984741211
arg,m,1995,68.0
arg,f,1995,74.9000015258789
arg,mf,1996,70.69999694824219
arg,m,1996,68.5
arg,f,1996,74.30000305175781
arg,mf,1997,71.69999694824219
arg,m,1997,69.5999984741211
arg,f,1997,75.0
arg,mf,1998,72.0999984741211
arg,m,1998,69.9000015258789
arg,f,1998,75.5
arg,mf,1999,72.4000015258789
arg,m,1999,70.0999984741211
arg,f,1999,75.9000015258789
arg,mf,2000,72.30000305175781
arg,m,2000,69.5999984741211
arg,f,2000,76.4000015258789
arg,mf,2001,71.80000305175781
arg,m,2001,68.80000305175781
arg,f,2001,76.0999984741211
arg,mf,2002,71.5999984741211
arg,m,2002,67.0
arg,f,2002,78.0999984741211
arg,mf,2003,73.5999984741211
arg,m,2003,69.9000015258789
arg,f,2003,78.5999984741211
arg,mf,2004,74.0999984741211
arg,m,2004,70.80000305175781
arg,f,2004,78.5999984741211
arg,mf,2005,74.5
arg,m,2005,71.19999694824219
arg,f,2005,79.0
arg,mf,2006,75.80000305175781
arg,m,2006,72.5
arg,f,2006,80.19999694824219
arg,mf,2007,76.4000015258789
arg,m,2007,73.19999694824219
arg,f,2007,80.9000015258789
arg,mf,2008,76.30000305175781
arg,m,2008,73.19999694824219
arg,f,2008,80.69999694824219
arg,mf,2009,76.0
arg,m,2009,73.0
arg,f,2009,80.0999984741211
arg,mf,2010,76.4000015258789
arg,m,2010,73.5
arg,f,2010,80.5999984741211
arg,mf,2011,76.9000015258789
arg,m,2011,73.80000305175781
arg,f,2011,81.30000305175781
arg,mf,2012,77.0
arg,m,2012,74.0
arg,f,2012,81.19999694824219
arg,mf,2013,75.30000305175781
arg,m,2013,71.19999694824219
arg,f,2013,81.0999984741211
arm,mf,1997,57.400001525878906
arm,mf,1998,55.099998474121094
arm,mf,1999,53.79999923706055
arm,mf,2000,52.79999923706055
arm,mf,2001,51.900001525878906
arm,mf,2002,50.0
arm,mf,2003,48.900001525878906
arm,mf,2004,47.599998474121094
arm,mf,2005,48.20000076293945
arm,mf,2006,48.79999923706055
arm,mf,2007,58.099998474121094
arm,mf,2008,58.0
arm,m,2008,63.099998474121094
arm,f,2008,51.900001525878906
arm,mf,2009,56.79999923706055
arm,m,2009,60.400001525878906
arm,f,2009,52.70000076293945
arm,mf,2010,56.900001525878906
arm,m,2010,62.29999923706055
arm,f,2010,50.29999923706055
arm,mf,2011,55.599998474121094
arm,m,2011,59.29999923706055
arm,f,2011,51.599998474121094
arm,mf,2012,56.5
arm,m,2012,59.599998474121094
arm,f,2012,53.29999923706055
arm,mf,2013,57.20000076293945
arm,m,2013,61.900001525878906
arm,f,2013,52.099998474121094
abw,mf,1991,92.0
abw,m,1991,89.69999694824219
abw,f,1991,95.19999694824219
abw,mf,1994,90.19999694824219
abw,m,1994,87.5
abw,f,1994,93.9000015258789
abw,mf,1997,96.80000305175781
abw,mf,2000,89.69999694824219
abw,m,2000,86.5
abw,f,2000,93.4000015258789
abw,mf,2007,90.5
abw,m,2007,87.5
abw,f,2007,93.80000305175781
abw,mf,2010,89.30000305175781
abw,m,2010,86.0
abw,f,2010,92.5
aus,mf,1980,84.0
aus,m,1980,82.19999694824219
aus,f,1980,87.0999984741211
aus,mf,1981,84.4000015258789
aus,m,1981,82.69999694824219
aus,f,1981,87.30000305175781
aus,mf,1982,84.4000015258789
aus,m,1982,82.5999984741211
aus,f,1982,87.30000305175781
aus,mf,1983,84.4000015258789
aus,m,1983,82.5999984741211
aus,f,1983,87.30000305175781
aus,mf,1984,84.30000305175781
aus,m,1984,82.30000305175781
aus,f,1984,87.69999694824219
aus,mf,1985,85.0
aus,m,1985,83.0999984741211
aus,f,1985,88.0
aus,mf,1986,84.69999694824219
aus,m,1986,83.0
aus,f,1986,87.30000305175781
aus,mf,1987,85.0
aus,m,1987,83.19999694824219
aus,f,1987,87.69999694824219
aus,mf,1988,84.9000015258789
aus,m,1988,83.0999984741211
aus,f,1988,87.69999694824219
aus,mf,1989,85.5
aus,m,1989,83.5999984741211
aus,f,1989,88.30000305175781
aus,mf,1990,85.5999984741211
aus,m,1990,83.5999984741211
aus,f,1990,88.4000015258789
aus,mf,1991,84.5
aus,m,1991,82.30000305175781
aus,f,1991,87.5
aus,mf,1992,84.0999984741211
aus,m,1992,81.69999694824219
aus,f,1992,87.30000305175781
aus,mf,1993,83.69999694824219
aus,m,1993,81.30000305175781
aus,f,1993,87.0999984741211
aus,mf,1994,84.30000305175781
aus,m,1994,81.9000015258789
aus,f,1994,87.5999984741211
aus,mf,1995,84.80000305175781
aus,m,1995,82.30000305175781
aus,f,1995,88.0
aus,mf,1996,85.0
aus,m,1996,82.5999984741211
aus,f,1996,88.19999694824219
aus,mf,1997,85.0
aus,m,1997,82.80000305175781
aus,f,1997,87.9000015258789
aus,mf,1998,85.4000015258789
aus,m,1998,82.9000015258789
aus,f,1998,88.5999984741211
aus,mf,1999,85.5999984741211
aus,m,1999,83.0
aus,f,1999,89.0
aus,mf,2000,86.0
aus,m,2000,83.4000015258789
aus,f,2000,89.30000305175781
aus,mf,2001,86.30000305175781
aus,m,2001,83.5
aus,f,2001,89.80000305175781
aus,mf,2002,86.19999694824219
aus,m,2002,83.4000015258789
aus,f,2002,89.5999984741211
aus,mf,2003,86.5999984741211
aus,m,2003,83.80000305175781
aus,f,2003,90.0
aus,mf,2004,86.80000305175781
aus,m,2004,84.0999984741211
aus,f,2004,90.19999694824219
aus,mf,2005,87.0999984741211
aus,m,2005,84.5
aus,f,2005,90.19999694824219
aus,mf,2006,87.5
aus,m,2006,84.9000015258789
aus,f,2006,90.69999694824219
aus,mf,2007,88.0999984741211
aus,m,2007,85.5999984741211
aus,f,2007,91.0999984741211
aus,mf,2008,88.30000305175781
aus,m,2008,86.0
aus,f,2008,91.0999984741211
aus,mf,2009,88.19999694824219
aus,m,2009,85.69999694824219
aus,f,2009,91.19999694824219
aus,mf,2010,88.19999694824219
aus,m,2010,85.80000305175781
aus,f,2010,91.0
aus,mf,2011,88.69999694824219
aus,m,2011,86.5
aus,f,2011,91.19999694824219
aus,mf,2012,89.4000015258789
aus,m,2012,87.5999984741211
aus,f,2012,91.5
aus,mf,2013,89.5999984741211
aus,m,2013,87.80000305175781
aus,f,2013,91.9000015258789
aut,mf,1980,82.9000015258789
aut,mf,1981,83.30000305175781
aut,mf,1982,84.0
aut,mf,1983,84.0
aut,mf,1984,84.69999694824219
aut,mf,1985,85.0999984741211
aut,mf,1986,85.19999694824219
aut,mf,1987,85.0999984741211
aut,mf,1988,85.19999694824219
aut,mf,1989,85.80000305175781
aut,mf,1990,85.80000305175781
aut,mf,1991,86.0999984741211
aut,mf,1992,86.5999984741211
aut,mf,1993,86.9000015258789
aut,mf,1994,86.19999694824219
aut,mf,1995,85.69999694824219
aut,m,1995,85.5999984741211
aut,f,1995,85.9000015258789
aut,mf,1996,85.5999984741211
aut,m,1996,85.4000015258789
aut,f,1996,85.69999694824219
aut,mf,1997,86.0999984741211
aut,m,1997,85.69999694824219
aut,f,1997,86.69999694824219
aut,mf,1998,86.19999694824219
aut,m,1998,85.69999694824219
aut,f,1998,86.9000015258789
aut,mf,1999,86.30000305175781
aut,m,1999,85.9000015258789
aut,f,1999,86.9000015258789
aut,mf,2000,86.5
aut,m,2000,85.69999694824219
aut,f,2000,87.5
aut,mf,2001,86.5999984741211
aut,m,2001,85.69999694824219
